"Station";"Name";"Höhe m";"Datum";"Zeit";"T °C";"TP °C";"RF %";"WR °";"WG km/h";"WSR °";"WSG km/h";"N l/m²";"LDred hPa";"LDstat hPa";"SO %"
11010;"Linz/Hörsching";298;"11-05-2022";"00:00";13,3;10,4;82;0;1,8;;9,4;0;1019,7;982,6;0
11012;"Kremsmünster";383;"11-05-2022";"00:00";15,9;8,8;63;230;20,5;227;24,5;0;1019,2;973,7;0
11022;"Retz";320;"11-05-2022";"00:00";17,6;6,3;47;257;11,9;267;15,1;0;1018,5;981,2;0
11035;"Wien/Hohe Warte";203;"11-05-2022";"00:00";14,5;8,8;69;272;8,3;;12,6;0;1019,2;994,5;0
11036;"Wien/Schwechat";183;"11-05-2022";"00:00";11,6;8,4;81;170;14,8;;18,4;0;1019,8;997,8;0
11101;"Bregenz";424;"11-05-2022";"00:00";18,8;10;56;148;12,2;144;26,3;0;1018,7;968,4;0
11121;"Innsbruck";579;"11-05-2022";"00:00";15,2;9,2;67;299;2,2;306;6,1;0;1020,5;952,9;0
11126;"Patscherkofel";2247;"11-05-2022";"00:00";6,1;3,3;82;283;5,4;353;12,6;0;;781,4;0
11130;"Kufstein";495;"11-05-2022";"00:00";13,2;9,6;78;0;0;182;4,7;0;1020,8;963,2;0
11150;"Salzburg";430;"11-05-2022";"00:00";14,1;9;72;150;9,4;;18,4;0;1020;967,9;0
11155;"Feuerkogel";1618;"11-05-2022";"00:00";10,5;3,7;63;289;21,2;295;36,4;0;;842,3;0
11157;"Aigen im Ennstal";640;"11-05-2022";"00:00";10,8;7,8;81;224;1,1;235;8,3;0;1022,1;945,8;0
11171;"Mariazell";866;"11-05-2022";"00:00";8,5;6,2;86;116;6,5;121;15,5;0;1022,4;921,9;0
11190;"Eisenstadt";184;"11-05-2022";"00:00";14;9,7;76;343;12,6;342;15,1;0;1019,3;997,6;0
11204;"Lienz";659;"11-05-2022";"00:00";12,9;8,2;73;217;2,2;301;9,7;0;1021,8;944,3;0
11240;"Graz/Flughafen";340;"11-05-2022";"00:00";14,6;11,4;81;310;3,6;;9,4;0;1020,5;977,8;0
11244;"Bad Gleichenberg";280;"11-05-2022";"00:00";12,4;10,7;88;52;1,4;351;5,4;0;1020,8;988,5;0
11265;"Villacher Alpe";2140;"11-05-2022";"00:00";6,5;4;84;304;9,7;318;12,6;0;;790,2;0
11331;"Klagenfurt/Flughafen";447;"11-05-2022";"00:00";14,2;8,9;71;295;3,2;29;10,1;0;1020,9;968;0
11343;"Sonnblick";3105;"11-05-2022";"00:00";-1,3;-3,4;86;309;13,7;329;36,4;;;702,3;0
11389;"St. Pölten";270;"11-05-2022";"00:00";14,6;8,8;68;186;8,3;210;13;0;1019,2;987,4;0
11010;"Linz/Hörsching";298;"11-05-2022";"01:00";14;9,4;74;230;5,4;;7,6;0;1019,5;982,5;0
11012;"Kremsmünster";383;"11-05-2022";"01:00";15;8,9;67;224;25,9;225;28,4;0;1019,3;973,6;0
11022;"Retz";320;"11-05-2022";"01:00";17,2;6,6;49;251;10,4;238;16,2;0;1018,4;981;0
11035;"Wien/Hohe Warte";203;"11-05-2022";"01:00";14,3;8,9;71;270;7,6;277;10,8;0;1018,8;994,1;0
11036;"Wien/Schwechat";183;"11-05-2022";"01:00";11;8,6;85;160;13;;16,6;0;1019,6;997,5;0
11101;"Bregenz";424;"11-05-2022";"01:00";17,9;9,9;59;150;17,3;125;29,5;0;1018,6;968,1;0
11121;"Innsbruck";579;"11-05-2022";"01:00";13,7;9,2;74;241;3,6;257;10,1;0;1021,1;953,1;0
11126;"Patscherkofel";2247;"11-05-2022";"01:00";6,1;2,9;80;260;3,2;277;14,4;0;;781,3;0
11130;"Kufstein";495;"11-05-2022";"01:00";12,2;9,3;82;297;0,7;222;5,4;;1021;963,2;0
11150;"Salzburg";430;"11-05-2022";"01:00";13,5;8,5;72;160;13;;18,4;0;1019,9;967,7;0
11155;"Feuerkogel";1618;"11-05-2022";"01:00";10,6;3,5;62;290;16,9;308;36,7;0;;842,2;0
11157;"Aigen im Ennstal";640;"11-05-2022";"01:00";9,3;7,4;88;290;1,1;252;5;0;1022,6;945,9;0
11171;"Mariazell";866;"11-05-2022";"01:00";7,9;6,1;89;118;5;135;13;0;1022,3;921,6;0
11190;"Eisenstadt";184;"11-05-2022";"01:00";13,4;9,8;79;336;9,7;346;14,8;0;1019;997,3;0
11204;"Lienz";659;"11-05-2022";"01:00";11,5;7,7;78;294;4;294;12,2;0;1022,4;944,5;0
11240;"Graz/Flughafen";340;"11-05-2022";"01:00";13;10,5;85;0;0;;5,4;0;1020,4;977,5;0
11244;"Bad Gleichenberg";280;"11-05-2022";"01:00";11,4;10,1;91;350;2,9;340;4,3;0;1020,6;988,2;0
11265;"Villacher Alpe";2140;"11-05-2022";"01:00";6,3;3,8;84;293;11,2;301;13,7;0;;790,1;0
11331;"Klagenfurt/Flughafen";447;"11-05-2022";"01:00";13,1;9;76;315;3,6;306;9,4;0;1021,2;968,1;0
11343;"Sonnblick";3105;"11-05-2022";"01:00";-1,5;-3,6;86;314;18;316;24,8;;;702,1;0
11389;"St. Pölten";270;"11-05-2022";"01:00";13,9;8,8;72;192;6,1;185;13,3;0;1019,2;987,3;0
11010;"Linz/Hörsching";298;"11-05-2022";"04:00";10,6;8,9;89;0;1,8;;5,4;0;1019,7;982,3;0
11012;"Kremsmünster";383;"11-05-2022";"04:00";11,3;8,5;84;220;5;226;20,5;0;1019,7;973,4;0
11022;"Retz";320;"11-05-2022";"04:00";14,2;6,9;61;271;4,3;258;6,8;0;1018;980,3;0
11035;"Wien/Hohe Warte";203;"11-05-2022";"04:00";11,7;9;83;41;1,8;343;4;0;1018,6;993,7;0
11036;"Wien/Schwechat";183;"11-05-2022";"04:00";11,1;9,1;88;200;9,4;;13;0;1018,9;996,9;0
11101;"Bregenz";424;"11-05-2022";"04:00";17,1;8,6;57;141;13,7;155;30,2;0;1018,3;967,7;0
11121;"Innsbruck";579;"11-05-2022";"04:00";10,6;7,9;84;257;6,5;243;10,1;0;1022,1;953,3;0
11126;"Patscherkofel";2247;"11-05-2022";"04:00";5,6;2,5;81;270;7,2;277;11,5;0;;780,7;0
11130;"Kufstein";495;"11-05-2022";"04:00";10,7;8,6;87;260;1,4;261;6,1;0;1021,4;963,2;0
11150;"Salzburg";430;"11-05-2022";"04:00";12,8;8,1;73;140;18,4;;29,5;0;1019,4;967,1;0
11155;"Feuerkogel";1618;"11-05-2022";"04:00";10,4;2,9;60;316;24,1;270;38,5;0;;841,6;0
11157;"Aigen im Ennstal";640;"11-05-2022";"04:00";5;3,9;94;277;0,4;300;4,7;0;1023,9;945,9;0
11171;"Mariazell";866;"11-05-2022";"04:00";5,8;4,9;94;121;8,6;132;16,6;0;1022,8;921,3;0
11190;"Eisenstadt";184;"11-05-2022";"04:00";12,6;9,8;83;347;12,2;345;14;0;1018,4;996,6;0
11204;"Lienz";659;"11-05-2022";"04:00";9,2;6,2;82;302;3,6;266;8,6;0;1023,1;944,5;0
11240;"Graz/Flughafen";340;"11-05-2022";"04:00";10,9;9,9;94;0;1,8;;3,6;0;1020,3;977,1;0
11244;"Bad Gleichenberg";280;"11-05-2022";"04:00";9,6;8,9;94;325;2,2;337;4;0;1020,4;987,8;0
11265;"Villacher Alpe";2140;"11-05-2022";"04:00";6;3,8;86;297;14,4;295;27,4;0;;789,6;0
11331;"Klagenfurt/Flughafen";447;"11-05-2022";"04:00";10,7;8,4;86;321;4,3;302;10,1;0;1021,7;968,1;0
11343;"Sonnblick";3105;"11-05-2022";"04:00";-1,6;-5,5;76;314;9,4;337;32,4;;;701,5;0
11389;"St. Pölten";270;"11-05-2022";"04:00";12,6;7,8;72;206;10,4;200;16,9;0;1019;987;0
11010;"Linz/Hörsching";298;"11-05-2022";"05:00";9,7;8,4;92;0;1,8;;5,4;0;1019,9;982,3;0
11012;"Kremsmünster";383;"11-05-2022";"05:00";12,7;8,3;75;215;13,3;225;20,5;0;1019,3;973,3;0
11022;"Retz";320;"11-05-2022";"05:00";14,1;6,9;62;136;2,5;253;10,1;0;1018;980,3;0
11035;"Wien/Hohe Warte";203;"11-05-2022";"05:00";11,8;9;83;239;6,8;240;8,3;0;1018,5;993,6;0
11036;"Wien/Schwechat";183;"11-05-2022";"05:00";10;8;88;180;5,4;;11,2;0,1;1019;996,9;0
11101;"Bregenz";424;"11-05-2022";"05:00";16,3;8,6;60;143;14;152;30,6;0;1018,2;967,5;0
11121;"Innsbruck";579;"11-05-2022";"05:00";10,5;8,3;86;248;2,5;278;9,7;0;1022,1;953,3;0
11126;"Patscherkofel";2247;"11-05-2022";"05:00";5,9;2,7;81;225;5,4;273;9;0;;780,5;0
11130;"Kufstein";495;"11-05-2022";"05:00";10,7;8,5;86;264;5,8;258;13,3;0;1021,3;963,1;0
11150;"Salzburg";430;"11-05-2022";"05:00";12,8;8;72;150;16,6;;31,3;0;1019,5;967,2;0
11155;"Feuerkogel";1618;"11-05-2022";"05:00";10,3;2,5;59;303;20,2;316;34,2;0;;841,5;0
11157;"Aigen im Ennstal";640;"11-05-2022";"05:00";4,8;4;96;39;1,4;226;5,8;0;1024;945,9;0
11171;"Mariazell";866;"11-05-2022";"05:00";5,6;4,8;96;128;10,4;128;17,6;0;1022,9;921,3;0
11190;"Eisenstadt";184;"11-05-2022";"05:00";12,2;9,7;85;325;5;348;15,5;0;1018,3;996,5;0
11204;"Lienz";659;"11-05-2022";"05:00";8,5;5,9;84;26;0,7;230;11,9;0;1023,4;944,6;0
11240;"Graz/Flughafen";340;"11-05-2022";"05:00";9,4;8,6;95;0;1,8;;3,6;0;1020,4;976,9;0
11244;"Bad Gleichenberg";280;"11-05-2022";"05:00";9,3;8,6;95;335;2,2;328;4,3;0;1020,3;987,6;0
11265;"Villacher Alpe";2140;"11-05-2022";"05:00";6;3,9;87;280;14;291;17,6;0;;789,6;0
11331;"Klagenfurt/Flughafen";447;"11-05-2022";"05:00";9,9;8,1;89;321;2,9;312;10,8;0;1022,2;968,4;0
11343;"Sonnblick";3105;"11-05-2022";"05:00";-1,5;-7,6;63;330;13,7;359;27;;;701,4;0
11389;"St. Pölten";270;"11-05-2022";"05:00";12,2;7,7;74;203;11,5;192;19,8;0;1019;986,9;0
11010;"Linz/Hörsching";298;"11-05-2022";"06:00";9,8;8,7;93;0;1,8;;3,6;0;1019,9;982,4;3
11012;"Kremsmünster";383;"11-05-2022";"06:00";12,4;8,2;76;226;13,3;225;17,6;0;1019,5;973,4;2
11022;"Retz";320;"11-05-2022";"06:00";13;7,3;68;235;4,3;238;5,8;0;1018,3;980,4;0
11035;"Wien/Hohe Warte";203;"11-05-2022";"06:00";11,4;9;85;64;1,4;242;8,6;0;1018,7;993,7;14
