"Station";"Name";"Höhe m";"Datum";"Zeit";"T °C";"TP °C";"RF %";"WR °";"WG km/h";"WSR °";"WSG km/h";"N l/m²";"LDred hPa";"LDstat hPa";"SO %"
11010;"Linz/Hörsching";298;"10-06-2024";"00:00";17,8;17,5;98;0;1,8;;14,8;0,5;1006,7;970,8;0
11012;"Kremsmünster";383;"10-06-2024";"00:00";16,8;15,7;93;208;17,6;256;24,1;1,4;1006,9;962,2;0
11022;"Retz";320;"10-06-2024";"00:00";18,3;15,4;83;250;13;258;20,5;0,1;1004,7;968,1;0
11035;"Wien/Hohe Warte";203;"10-06-2024";"00:00";19;16,3;84;240;11,2;238;15,8;0;1005,9;981,9;0
11036;"Wien/Schwechat";183;"10-06-2024";"00:00";17,5;16,4;93;200;9,4;;20,5;0;1006,4;985,2;0
11101;"Bregenz";424;"10-06-2024";"00:00";14,9;14,5;98;68;2,2;70;6,8;0,2;1006,8;956,5;0
11121;"Innsbruck";579;"10-06-2024";"00:00";16,1;15,7;98;170;7,6;167;10,8;0,1;1006,9;940,5;0
11126;"Patscherkofel";2247;"10-06-2024";"00:00";7,3;6,1;93;169;41;169;62,6;0;;770,9;0
11130;"Kufstein";495;"10-06-2024";"00:00";15,8;14,9;95;137;2,9;18;17,6;0,7;1007,4;951,1;0
11150;"Salzburg";430;"10-06-2024";"00:00";16,2;15,6;96;280;3,6;;16,6;5,2;1008,2;957,2;0
11155;"Feuerkogel";1618;"10-06-2024";"00:00";9,5;8,4;93;300;15,8;180;58,3;4;;832,6;0
11157;"Aigen im Ennstal";640;"10-06-2024";"00:00";16,1;14,4;91;105;6,8;15;21,2;0;1007,1;933,4;0
11171;"Mariazell";866;"10-06-2024";"00:00";14,1;11,7;86;117;4;161;12,6;0;1007,5;910,4;0
11190;"Eisenstadt";184;"10-06-2024";"00:00";17,4;16;92;305;9;310;20,5;0;1005,8;984,7;0
11204;"Lienz";659;"10-06-2024";"00:00";16,5;15,6;94;139;1,8;109;8,3;0,3;1007,7;932,4;0
11240;"Graz/Flughafen";340;"10-06-2024";"00:00";20,8;19,3;91;320;3,6;;18,4;0,1;1005,4;964,4;0
11244;"Bad Gleichenberg";280;"10-06-2024";"00:00";20,1;18;86;142;1,1;318;7,6;0;1006,2;975,3;0
11265;"Villacher Alpe";2140;"10-06-2024";"00:00";8,2;6,4;89;230;36,7;246;45,4;0,3;;781,1;0
11331;"Klagenfurt/Flughafen";447;"10-06-2024";"00:00";19,4;14;71;25;3,6;190;9;0;1006,1;954,9;0
11343;"Sonnblick";3105;"10-06-2024";"00:00";1,7;1,3;99;265;51,1;286;81,4;;;694,3;0
11389;"St. Pölten";270;"10-06-2024";"00:00";16,5;15,5;94;206;10,4;205;21,2;0;1006,2;975,1;0
11010;"Linz/Hörsching";298;"10-06-2024";"01:00";17,5;16,6;94;240;3,6;;18,4;0,3;1007,2;971,2;0
11012;"Kremsmünster";383;"10-06-2024";"01:00";16,9;15,9;95;237;16,9;275;37,1;0,4;1007,7;962,9;0
11022;"Retz";320;"10-06-2024";"01:00";17,2;15,5;90;277;10,1;235;21,2;0;1005,4;968,6;0
11035;"Wien/Hohe Warte";203;"10-06-2024";"01:00";18,3;15,7;84;280;8,6;249;16,6;0;1005;981;0
11036;"Wien/Schwechat";183;"10-06-2024";"01:00";16,7;15,9;95;170;9,4;;16,6;0;1005,6;984,3;0
11101;"Bregenz";424;"10-06-2024";"01:00";15,1;14,8;98;127;4,7;326;10,8;0,9;1007,1;956,8;0
11121;"Innsbruck";579;"10-06-2024";"01:00";16,2;15,8;98;110;4;190;8,3;0;1006,2;939,9;0
11126;"Patscherkofel";2247;"10-06-2024";"01:00";6,9;6,7;99;166;42,8;166;58,3;0;;770,3;0
11130;"Kufstein";495;"10-06-2024";"01:00";15;14,4;97;183;2,2;133;7,2;0;1006,8;950,4;0
11150;"Salzburg";430;"10-06-2024";"01:00";15,8;14,8;94;170;5,4;;16,6;1,4;1007,4;956,3;0
11155;"Feuerkogel";1618;"10-06-2024";"01:00";9,1;8,6;97;297;16,9;301;46,8;3,5;;832,5;0
11157;"Aigen im Ennstal";640;"10-06-2024";"01:00";15,3;14,1;93;285;1,4;318;8,6;0;1007,2;933,3;0
11171;"Mariazell";866;"10-06-2024";"01:00";13,1;11,8;92;227;3,6;152;10,4;0;1007,2;909,8;0
11190;"Eisenstadt";184;"10-06-2024";"01:00";17,3;16;93;316;7,2;360;25,9;0;1005,5;984,4;0
11204;"Lienz";659;"10-06-2024";"01:00";16,4;15,6;95;322;2,9;238;10,1;0,1;1006,8;931,5;0
11240;"Graz/Flughafen";340;"10-06-2024";"01:00";19,6;17,9;90;360;9,4;;11,2;0;1005;963,8;0
11244;"Bad Gleichenberg";280;"10-06-2024";"01:00";20;18,7;91;148;3,6;64;11,9;0,2;1005,6;974,7;0
11265;"Villacher Alpe";2140;"10-06-2024";"01:00";8,6;6,3;85;223;27,7;227;37,4;0;;780,8;0
11331;"Klagenfurt/Flughafen";447;"10-06-2024";"01:00";19;14,6;76;346;3,6;251;7,9;0;1005,7;954,5;0
11343;"Sonnblick";3105;"10-06-2024";"01:00";1,6;1,2;99;268;43,2;296;65,9;;;693,8;0
11389;"St. Pölten";270;"10-06-2024";"01:00";16,3;15,3;94;213;7,9;218;16,9;0;1005,5;974,4;0
11010;"Linz/Hörsching";298;"10-06-2024";"02:00";16,9;16,2;95;200;5,4;;11,2;3,4;1006,4;970,3;0
11012;"Kremsmünster";383;"10-06-2024";"02:00";16,5;15,7;95;218;16,6;225;28,4;1,3;1006,7;961,9;0
11022;"Retz";320;"10-06-2024";"02:00";17,4;15,2;87;225;4,3;245;15,8;0;1005,6;968,8;0
11035;"Wien/Hohe Warte";203;"10-06-2024";"02:00";18,1;15,6;84;315;2,2;283;14;0,1;1005,2;981,2;0
11036;"Wien/Schwechat";183;"10-06-2024";"02:00";16,9;15,8;93;180;16,6;;22,3;0;1005,6;984,3;0
11101;"Bregenz";424;"10-06-2024";"02:00";14,8;14,5;98;138;1,1;63;8,3;1,6;1006,8;956,5;0
11121;"Innsbruck";579;"10-06-2024";"02:00";15,8;15,1;96;258;4,3;294;10,8;0;1006,3;939,9;0
11126;"Patscherkofel";2247;"10-06-2024";"02:00";6,8;4,8;88;164;54,4;163;70,2;0;;769,9;0
11130;"Kufstein";495;"10-06-2024";"02:00";13,9;13,5;97;245;3,2;251;5,8;0;1006,4;949,8;0
11150;"Salzburg";430;"10-06-2024";"02:00";15,7;14,9;95;150;14,8;;24,1;0;1006;955;0
11155;"Feuerkogel";1618;"10-06-2024";"02:00";9;8,4;96;207;8,3;304;21,2;0,2;;831,5;0
11157;"Aigen im Ennstal";640;"10-06-2024";"02:00";15,5;14,7;95;75;6,8;47;11,5;1;1007;933,2;0
11171;"Mariazell";866;"10-06-2024";"02:00";13,2;11,7;91;352;1,1;108;6,1;0;1007,4;910;0
11190;"Eisenstadt";184;"10-06-2024";"02:00";17,2;16,1;94;349;11,5;356;18,7;0;1005,2;984,1;0
11204;"Lienz";659;"10-06-2024";"02:00";16,1;15,6;97;105;5;137;10,4;0,4;1006,4;931,1;0
11240;"Graz/Flughafen";340;"10-06-2024";"02:00";18,9;17;89;360;11,2;;14,8;0;1004,8;963,5;0
11244;"Bad Gleichenberg";280;"10-06-2024";"02:00";19,4;18,7;95;75;2,5;323;11,2;0,3;1005;974;0
11265;"Villacher Alpe";2140;"10-06-2024";"02:00";9,4;5,6;77;218;36,4;194;47,2;0;;780,2;0
11331;"Klagenfurt/Flughafen";447;"10-06-2024";"02:00";17,9;14,6;82;337;5,4;295;10,1;0;1005,7;954,3;0
11343;"Sonnblick";3105;"10-06-2024";"02:00";1,7;1,4;99;244;28,8;245;58,7;;;693,4;0
11389;"St. Pölten";270;"10-06-2024";"02:00";16,8;16;96;229;13,3;232;25,9;0,1;1006,4;975,3;0
11010;"Linz/Hörsching";298;"10-06-2024";"03:00";16,7;16,1;96;20;3,6;;11,2;0,8;1005,5;969,4;0
11012;"Kremsmünster";383;"10-06-2024";"03:00";16,2;15,2;94;218;9,4;225;25,2;0,2;1005,3;960,5;0
11022;"Retz";320;"10-06-2024";"03:00";17,1;14,7;86;161;11,2;181;16,6;0,1;1005,4;968,6;0
11035;"Wien/Hohe Warte";203;"10-06-2024";"03:00";18,3;14,8;80;263;11,5;220;23,8;0;1005,5;981,5;0
11036;"Wien/Schwechat";183;"10-06-2024";"03:00";17,3;15,8;90;310;11,2;;20,5;0;1006,3;985,1;0
11101;"Bregenz";424;"10-06-2024";"03:00";14,8;14,5;98;12;3,6;168;10,4;1,2;1006,1;955,8;0
11121;"Innsbruck";579;"10-06-2024";"03:00";15,4;14,9;97;180;1,1;293;10,8;0;1006,1;939,6;0
11126;"Patscherkofel";2247;"10-06-2024";"03:00";6,4;3,7;84;170;38,9;159;80,6;0;;769,6;0
11130;"Kufstein";495;"10-06-2024";"03:00";14,5;14,1;98;249;0,7;236;7,9;0,1;1006,1;949,6;0
11150;"Salzburg";430;"10-06-2024";"03:00";15,6;14,6;94;150;11,2;;24,1;0;1005,4;954,4;0
11155;"Feuerkogel";1618;"10-06-2024";"03:00";9,5;7,3;86;185;7,9;172;19,4;0;;830,9;0
11157;"Aigen im Ennstal";640;"10-06-2024";"03:00";15,1;14;94;81;4,3;33;11,2;0;1006,3;932,4;0
11171;"Mariazell";866;"10-06-2024";"03:00";13;12,3;96;168;5,8;239;10,8;0,7;1007,3;909,9;0
11190;"Eisenstadt";184;"10-06-2024";"03:00";17,4;16,4;95;332;6,8;357;18,7;0;1005,6;984,5;0
11204;"Lienz";659;"10-06-2024";"03:00";15,8;15,2;96;133;2,5;88;9,7;0,8;1006,4;931;0
11240;"Graz/Flughafen";340;"10-06-2024";"03:00";18,1;16,2;88;10;7,6;;14,8;0,1;1004,7;963,3;0
11244;"Bad Gleichenberg";280;"10-06-2024";"03:00";18,7;18,2;96;35;1,4;207;14,8;0;1004,6;973,6;0
11265;"Villacher Alpe";2140;"10-06-2024";"03:00";9,6;5,3;74;176;33,5;179;43,2;0;;779,5;0
11331;"Klagenfurt/Flughafen";447;"10-06-2024";"03:00";17,2;14,2;83;309;6,1;312;10,1;0;1005,1;953,6;0
11343;"Sonnblick";3105;"10-06-2024";"03:00";1,7;1,4;99;242;32,4;215;56,2;;;692,9;0
11389;"St. Pölten";270;"10-06-2024";"03:00";16,8;15,8;94;221;14,8;220;31;0;1005,9;974,8;0
11010;"Linz/Hörsching";298;"10-06-2024";"04:00";16,8;16,3;97;10;5,4;;9,4;0,1;1004,9;968,9;0
11012;"Kremsmünster";383;"10-06-2024";"04:00";15,9;15,2;96;302;3,6;226;19,1;0;1005;960,2;0
11022;"Retz";320;"10-06-2024";"04:00";16,6;15,3;92;198;7,9;220;24,5;1,2;1005,4;968,5;0
11035;"Wien/Hohe Warte";203;"10-06-2024";"04:00";17,9;15,2;84;84;2,5;287;15,5;0,2;1005,1;981,1;0
11036;"Wien/Schwechat";183;"10-06-2024";"04:00";17,3;16,1;93;10;13;;16,6;0,3;1004,9;983,7;0
11101;"Bregenz";424;"10-06-2024";"04:00";14,9;14,5;97;146;10,8;137;17,3;0,9;1006;955,7;0
11121;"Innsbruck";579;"10-06-2024";"04:00";15,4;15,1;99;242;4,7;221;11,5;0;1005,5;939,1;0
