"Station";"Name";"Höhe m";"Datum";"Zeit";"T °C";"TP °C";"RF %";"WR °";"WG km/h";"WSR °";"WSG km/h";"N l/m²";"LDred hPa";"LDstat hPa";"SO %"
11010;"Linz/Hörsching";298;"20-02-2022";"00:00";1,6;-2,8;72;240;13;;16,6;0;1020,2;981,5;0
11012;"Kremsmünster";383;"20-02-2022";"00:00";2,9;-3,7;62;222;18,7;226;24,8;0;1020,4;972,6;0
11022;"Retz";320;"20-02-2022";"00:00";3,1;-5,8;52;233;10,8;229;16,2;0;1019,1;979,8;0
11035;"Wien/Hohe Warte";203;"20-02-2022";"00:00";3,1;-2,3;68;259;11,2;249;14;0;1019,6;993,8;0
11036;"Wien/Schwechat";183;"20-02-2022";"00:00";2,4;-3,6;65;210;16,6;;18,4;0;1020,2;997,4;0
11101;"Bregenz";424;"20-02-2022";"00:00";3,5;-0,3;76;139;10,8;145;22,7;0;1022,4;969,1;0
11121;"Innsbruck";579;"20-02-2022";"00:00";-0,7;-2,9;85;267;8,3;276;10,8;0;1023,4;951,6;0
11126;"Patscherkofel";2247;"20-02-2022";"00:00";-5,4;-15,2;47;215;4,7;268;13,7;0;;771,9;0
11130;"Kufstein";495;"20-02-2022";"00:00";-0,7;-3;84;188;1,4;153;6,5;0;1022,7;962;0
11150;"Salzburg";430;"20-02-2022";"00:00";-0,9;-3,7;81;180;11,2;;14,8;0;1021,8;966,7;0
11155;"Feuerkogel";1618;"20-02-2022";"00:00";-3,8;-8;74;280;28,1;302;58;0;;835,3;0
11157;"Aigen im Ennstal";640;"20-02-2022";"00:00";-1,3;-4,3;81;91;1,4;263;9,7;0;1023,3;943,5;0
11171;"Mariazell";866;"20-02-2022";"00:00";-2,6;-6,2;76;141;5,4;183;13,3;0;1022,5;917,9;0
11190;"Eisenstadt";184;"20-02-2022";"00:00";3,7;-3,3;61;238;8,6;312;14,8;0;1020;997,4;0
11204;"Lienz";659;"20-02-2022";"00:00";1,7;-1,2;82;156;2,2;161;7,6;0;1021,1;940,5;0
11240;"Graz/Flughafen";340;"20-02-2022";"00:00";3,9;1,4;84;30;5,4;;9,4;0;1020,8;976,4;0
11244;"Bad Gleichenberg";280;"20-02-2022";"00:00";4,1;1,8;86;127;1,8;160;6,1;0;1021;987,7;0
11265;"Villacher Alpe";2140;"20-02-2022";"00:00";-4,9;-5,8;94;256;24,5;244;33,8;0,1;;781;0
