"Station";"Name";"Höhe m";"Datum";"Zeit";"T °C";"TP °C";"RF %";"WR °";"WG km/h";"WSR °";"WSG km/h";"N l/m²";"LDred hPa";"LDstat hPa";"SO %"
11010;"Linz/Hörsching";298;"22-08-2024";"00:00";15,3;14,6;96;130;3,6;;11,2;0;1019,3;982,6;0
11012;"Kremsmünster";383;"22-08-2024";"00:00";16,2;14,2;88;223;12,2;226;23,4;0,1;1019,2;973,8;0
11022;"Retz";320;"22-08-2024";"00:00";17,4;10;62;316;9;317;27;0;1017,8;980,5;0
11035;"Wien/Hohe Warte";203;"22-08-2024";"00:00";19,7;13,3;66;276;15,8;280;41;0;1017,4;993,2;0
11036;"Wien/Schwechat";183;"22-08-2024";"00:00";20,4;14;67;310;25,9;;42,5;0;1017,3;996;0
11101;"Bregenz";424;"22-08-2024";"00:00";14,8;12,3;86;61;8,6;63;10,4;0;1018;967,1;0
11121;"Innsbruck";579;"22-08-2024";"00:00";17,5;14,9;85;55;4;48;6,1;0;1018,6;951,8;0
11126;"Patscherkofel";2247;"22-08-2024";"00:00";8;6,8;92;181;1,4;233;7,6;0;;780,5;0
11130;"Kufstein";495;"22-08-2024";"00:00";17,9;15;82;60;4,3;77;11,2;0;1018,4;961,9;0
11150;"Salzburg";430;"22-08-2024";"00:00";17,3;16;92;170;3,6;;7,6;0;1019,1;967,7;0
11155;"Feuerkogel";1618;"22-08-2024";"00:00";9,1;7,9;92;319;10,8;304;29,2;0;;842;0
11157;"Aigen im Ennstal";640;"22-08-2024";"00:00";16,6;14,1;85;297;1,1;138;6,1;0;1018,6;944,2;0
11171;"Mariazell";866;"22-08-2024";"00:00";12,7;10,6;87;147;5,4;307;17,6;0;1019,8;921;0
11190;"Eisenstadt";184;"22-08-2024";"00:00";20,8;13;61;284;16,6;291;27,7;0;1016,5;995,4;0
11204;"Lienz";659;"22-08-2024";"00:00";18,5;15,6;83;56;2,2;132;7,9;0;1016,4;940,9;0
11240;"Graz/Flughafen";340;"22-08-2024";"00:00";17,2;13,2;77;180;5,4;;9,4;0;1017,4;975,3;0
11244;"Bad Gleichenberg";280;"22-08-2024";"00:00";18;13,7;75;4;1,4;357;13,7;0;1017,5;985,9;0
11265;"Villacher Alpe";2140;"22-08-2024";"00:00";9,4;9,4;100;137;5,8;114;19,1;0;;789,9;0
11331;"Klagenfurt/Flughafen";447;"22-08-2024";"00:00";18,7;15,3;81;90;4,3;2;10,4;0;1017;965,2;0
11343;"Sonnblick";3105;"22-08-2024";"00:00";3,7;3,5;100;206;22,7;217;36,4;;;703;0
11389;"St. Pölten";270;"22-08-2024";"00:00";18,1;14,3;78;248;11,2;245;25,2;0;1018,2;986,9;0
11010;"Linz/Hörsching";298;"22-08-2024";"01:00";15,3;14,1;92;270;5,4;;7,6;0,1;1019,3;982,5;0
11012;"Kremsmünster";383;"22-08-2024";"01:00";15,9;14,1;90;225;15,1;226;19,1;0;1019,1;973,7;0
11022;"Retz";320;"22-08-2024";"01:00";16,2;9,7;66;265;6,8;232;14,4;0;1018,5;981;0
11035;"Wien/Hohe Warte";203;"22-08-2024";"01:00";19,5;12;62;298;17,3;301;33,8;0;1017,7;993,5;0
