"Station";"Name";"Höhe m";"Datum";"Zeit";"T °C";"TP °C";"RF %";"WR °";"WG km/h";"WSR °";"WSG km/h";"N l/m²";"LDred hPa";"LDstat hPa";"SO %"
11010;"Linz/Hörsching";298;"13-09-2022";"00:00";13,6;12,5;92;120;5,4;;7,6;0;1015,9;979;0
11012;"Kremsmünster";383;"13-09-2022";"00:00";13,4;11,5;89;231;7,9;223;19,1;0;1015,9;970,2;0
11022;"Retz";320;"13-09-2022";"00:00";14,7;10,4;75;220;1,4;30;4,3;0;1016,2;978,6;0
11035;"Wien/Hohe Warte";203;"13-09-2022";"00:00";12,9;10,7;87;315;2,9;303;4,3;0;1016,5;991,7;0
11036;"Wien/Schwechat";183;"13-09-2022";"00:00";14,4;10,8;79;280;7,6;;11,2;0;1016,5;994,8;0
11101;"Bregenz";424;"13-09-2022";"00:00";15;11,3;79;160;9,7;147;20,5;0;1014,3;963,6;0
11121;"Innsbruck";579;"13-09-2022";"00:00";11,4;9,4;88;;4,3;253;8,6;0;1017,6;949,3;0
11126;"Patscherkofel";2247;"13-09-2022";"00:00";8,7;-0,3;53;305;25,6;306;30,2;0;;778,4;0
11130;"Kufstein";495;"13-09-2022";"00:00";11,8;10,7;93;274;2,9;280;7,6;0;1016,5;958,9;0
11150;"Salzburg";430;"13-09-2022";"00:00";12,1;10,8;92;120;7,6;;11,2;0;1016;963,8;0
11155;"Feuerkogel";1618;"13-09-2022";"00:00";8,9;-0,3;52;286;11,5;248;24,8;0;;838,2;0
11157;"Aigen im Ennstal";640;"13-09-2022";"00:00";9,4;8,4;93;283;1,4;230;5,8;0;1018,2;941,9;0
11171;"Mariazell";866;"13-09-2022";"00:00";8;7,8;99;120;7,6;131;14,4;0;1018,2;918;0
11190;"Eisenstadt";184;"13-09-2022";"00:00";14;9,9;77;342;10,8;350;16,2;0;1015,9;994,3;0
11204;"Lienz";659;"13-09-2022";"00:00";11,5;8,9;84;303;3,6;316;7,9;0;1017,7;940,2;0
11240;"Graz/Flughafen";340;"13-09-2022";"00:00";13,6;11,6;87;10;3,6;;14,8;0;1016,6;974;0
11244;"Bad Gleichenberg";280;"13-09-2022";"00:00";13;11,9;91;323;4,7;317;6,5;0;1016,7;984,6;0
11265;"Villacher Alpe";2140;"13-09-2022";"00:00";7,4;3,7;78;233;14;239;15,5;0;;786,8;0
11331;"Klagenfurt/Flughafen";447;"13-09-2022";"00:00";12,7;10,3;86;325;2,5;310;7,2;0;1016,7;963,7;0
11343;"Sonnblick";3105;"13-09-2022";"00:00";1,6;-9,7;43;295;23,4;271;49,7;;;700;0
11389;"St. Pölten";270;"13-09-2022";"00:00";12,5;11,4;93;188;3,6;156;7,6;0;1016,4;984,5;0
11010;"Linz/Hörsching";298;"13-09-2022";"01:00";12,6;12,1;97;130;3,6;;7,6;0;1015,7;978,7;0
11012;"Kremsmünster";383;"13-09-2022";"01:00";12,1;10,7;92;228;3,6;225;13,3;0;1015,8;969,9;0
11022;"Retz";320;"13-09-2022";"01:00";14,3;10,3;77;238;4,3;227;5,4;0;1016;978,4;0
11035;"Wien/Hohe Warte";203;"13-09-2022";"01:00";13;10,6;86;324;4,7;332;6,1;0;1016,4;991,6;0
11036;"Wien/Schwechat";183;"13-09-2022";"01:00";12;10,2;88;170;9,4;;11,2;0;1016,6;994,7;0
11101;"Bregenz";424;"13-09-2022";"01:00";14,4;10,8;79;6;1,4;161;17,3;0;1014,2;963,4;0
11121;"Innsbruck";579;"13-09-2022";"01:00";10,1;8,4;89;270;3,6;226;7,2;0;1017,9;949,3;0
11126;"Patscherkofel";2247;"13-09-2022";"01:00";8,7;-1,2;50;300;25,6;302;31,7;0;;778,2;0
11130;"Kufstein";495;"13-09-2022";"01:00";11,9;10,3;90;226;2,2;260;11,9;0;1016,6;959;0
11150;"Salzburg";430;"13-09-2022";"01:00";11,4;10;91;180;9,4;;11,2;0;1016;963,6;0
11155;"Feuerkogel";1618;"13-09-2022";"01:00";9,2;-1,4;48;278;12,6;275;25,9;0;;838;0
11157;"Aigen im Ennstal";640;"13-09-2022";"01:00";9,6;8,4;92;203;4,3;166;7,2;0;1018,1;941,8;0
11171;"Mariazell";866;"13-09-2022";"01:00";7,5;7,4;100;131;7,2;124;14;0;1018,1;917,7;0
11190;"Eisenstadt";184;"13-09-2022";"01:00";13,4;10;80;339;8,6;349;16,2;0;1015,9;994,2;0
11204;"Lienz";659;"13-09-2022";"01:00";11;8,1;82;316;5,8;323;10,1;0;1017,9;940,2;0
11240;"Graz/Flughafen";340;"13-09-2022";"01:00";12,7;10,5;86;10;7,6;;11,2;0;1016,7;973,9;0
11244;"Bad Gleichenberg";280;"13-09-2022";"01:00";12,3;11,4;93;8;2,5;334;4,7;0;1016,7;984,5;0
11265;"Villacher Alpe";2140;"13-09-2022";"01:00";7,4;4,5;82;251;21,2;248;24,1;0;;786,7;0
11331;"Klagenfurt/Flughafen";447;"13-09-2022";"01:00";11,9;10,1;89;305;4,3;294;6,1;0;1016,9;963,8;0
11343;"Sonnblick";3105;"13-09-2022";"01:00";1,9;-11,1;38;317;23,4;318;39,2;;;699,8;0
11389;"St. Pölten";270;"13-09-2022";"01:00";11,7;11;96;29;1,8;183;4,7;0;1016,1;984,1;0
