"Station";"Name";"Höhe m";"Datum";"Zeit";"T °C";"TP °C";"RF %";"WR °";"WG km/h";"WSR °";"WSG km/h";"N l/m²";"LDred hPa";"LDstat hPa";"SO %"
11010;"Linz/Hörsching";298;"09-11-2022";"00:00";5,1;5,1;100;70;5,4;;16,6;0;1019,1;980,9;0
11012;"Kremsmünster";383;"09-11-2022";"00:00";4,9;4,8;100;86;1,1;120;13,7;0;1018,8;971,5;0
11035;"Wien/Hohe Warte";203;"09-11-2022";"00:00";7,9;7,3;96;121;1,4;179;6,8;0;1018,6;993,3;0
11036;"Wien/Schwechat";183;"09-11-2022";"00:00";6,4;6,2;99;0;1,8;;7,6;0;1018,8;996,4;0
11101;"Bregenz";424;"09-11-2022";"00:00";7,8;4,9;83;280;4;144;14,4;0;1015,5;963,4;0
11121;"Innsbruck";579;"09-11-2022";"00:00";3,2;1,6;90;264;12,6;288;21,6;0;1021;950,4;0
11126;"Patscherkofel";2247;"09-11-2022";"00:00";0,8;-5,1;65;182;18,7;177;24,8;0;;775,5;0
11130;"Kufstein";495;"09-11-2022";"00:00";3,9;2,1;89;243;5;272;16,2;0;1019,5;960;0
11150;"Salzburg";430;"09-11-2022";"00:00";7,2;3,6;78;140;14,8;;29,5;0;1017,4;964,1;0
11155;"Feuerkogel";1618;"09-11-2022";"00:00";8,2;-10,2;26;139;4;134;7,9;0;;837,4;0
11157;"Aigen im Ennstal";640;"09-11-2022";"00:00";-1,2;-2,2;94;350;2,9;238;12,2;0;1022,7;943;0
11171;"Mariazell";866;"09-11-2022";"00:00";1,9;0,3;90;126;10,1;130;15,8;0;1020,2;917,5;0
11190;"Eisenstadt";184;"09-11-2022";"00:00";6,8;6,6;100;65;2,9;63;12,6;0;1018,4;996,2;0
11204;"Lienz";659;"09-11-2022";"00:00";1,3;-0,3;89;304;3,2;275;7,2;0;1023;942,2;0
11240;"Graz/Flughafen";340;"09-11-2022";"00:00";3,3;2,9;97;0;1,8;;3,6;0;1019,3;974,9;0
11244;"Bad Gleichenberg";280;"09-11-2022";"00:00";2,5;2,1;97;350;0,4;308;4,3;0;1019,3;985,8;0
11265;"Villacher Alpe";2140;"09-11-2022";"00:00";1,3;-2,9;74;240;40;237;42,8;0;;784,6;0
11331;"Klagenfurt/Flughafen";447;"09-11-2022";"00:00";3,2;3;100;311;2,5;313;7,9;0;1021,1;966;0
11343;"Sonnblick";3105;"09-11-2022";"00:00";1,4;-24,4;13;309;20,2;318;27,4;;;697,3;0
11389;"St. Pölten";270;"09-11-2022";"00:00";5,9;5,7;99;137;2,5;62;7,6;0;1019;986,2;0
