"Station";"Name";"Höhe m";"Datum";"Zeit";"T °C";"TP °C";"RF %";"WR °";"WG km/h";"WSR °";"WSG km/h";"N l/m²";"LDred hPa";"LDstat hPa";"SO %"
11010;"Linz/Hörsching";298;"30-03-2025";"00:00";7,6;6,9;95;260;24,1;;31,3;1,3;1015,9;978,2;0
11012;"Kremsmünster";383;"30-03-2025";"00:00";7,2;6,6;97;252;20,5;246;35,3;3;1016,4;969,6;0
11022;"Retz";320;"30-03-2025";"00:00";9,3;6;80;320;20,5;315;38,2;0;1012,6;974,4;0
11035;"Wien/Hohe Warte";203;"30-03-2025";"00:00";9,4;9;98;286;2,5;31;9;0,4;1012,1;987,1;0
11036;"Wien/Schwechat";183;"30-03-2025";"00:00";8,9;8,4;96;0;1,8;;7,6;0,3;1012,4;990,3;0
11101;"Bregenz";424;"30-03-2025";"00:00";7;6,6;98;61;5,4;158;12,2;0,1;1020,3;967,8;0
11121;"Innsbruck";579;"30-03-2025";"00:00";5,9;4,5;91;172;4,7;227;10,4;0,3;1018,8;949,1;0
11126;"Patscherkofel";2247;"30-03-2025";"00:00";-3,8;-4,4;97;329;25,9;350;41;0;;771,4;0
11130;"Kufstein";495;"30-03-2025";"00:00";5,5;5,1;98;317;1,4;69;5,4;1;1019,2;960,1;0
11150;"Salzburg";430;"30-03-2025";"00:00";5,7;4,7;94;240;13;;22,3;1;1018,5;964,9;0
11155;"Feuerkogel";1618;"30-03-2025";"00:00";-1,1;-1,3;99;315;25,9;328;41,8;1,5;;833,5;0
11157;"Aigen im Ennstal";640;"30-03-2025";"00:00";5;2,6;84;204;9;223;19,4;0;1017,2;939,7;0
11171;"Mariazell";866;"30-03-2025";"00:00";3,6;1,9;89;295;4,7;307;10,8;0,2;1015,3;913,7;0
11190;"Eisenstadt";184;"30-03-2025";"00:00";9,7;8,2;91;323;16,9;304;34,2;0,3;1011,7;989,8;0
11204;"Lienz";659;"30-03-2025";"00:00";8,4;2,2;66;24;1,4;106;13;0;1013,7;935,6;0
11240;"Graz/Flughafen";340;"30-03-2025";"00:00";7,4;5,7;89;320;7,6;;14,8;0;1012,6;969,1;0
11244;"Bad Gleichenberg";280;"30-03-2025";"00:00";7,6;7,1;97;167;0,7;196;4,3;0,1;1012,4;979,8;0
11265;"Villacher Alpe";2140;"30-03-2025";"00:00";-3;-3,1;100;359;64,1;356;76;1,5;;777;0
11331;"Klagenfurt/Flughafen";447;"30-03-2025";"00:00";6;5;94;210;3,6;224;7,9;0,5;1014,4;960,3;0
11343;"Sonnblick";3105;"30-03-2025";"00:00";-9;-10,3;92;15;27,7;7;60,8;;;689,5;0
11389;"St. Pölten";270;"30-03-2025";"00:00";8;7,5;97;234;18,4;239;31,7;3,5;1013,7;981,3;0
11010;"Linz/Hörsching";298;"30-03-2025";"01:00";7,3;6,6;96;260;22,3;;31,3;1,8;1016,4;978,6;0
11012;"Kremsmünster";383;"30-03-2025";"01:00";7,2;6,6;97;244;15,1;263;30,2;1,8;1016,7;969,9;0
11022;"Retz";320;"30-03-2025";"01:00";9,2;5,8;79;311;19,4;303;31,3;0;1012,8;974,6;0
11035;"Wien/Hohe Warte";203;"30-03-2025";"01:00";9,2;8,1;92;305;21,2;309;33,8;0,1;1012;987;0
11036;"Wien/Schwechat";183;"30-03-2025";"01:00";9;8,6;98;330;9,4;;13;0,2;1012,5;990,4;0
11101;"Bregenz";424;"30-03-2025";"01:00";6,9;6,7;99;109;2,5;68;7,9;0,2;1020,5;968;0
11121;"Innsbruck";579;"30-03-2025";"01:00";5,8;4,5;92;59;4,7;69;11,2;0,5;1019,4;949,6;0
11126;"Patscherkofel";2247;"30-03-2025";"01:00";-3,8;-4,3;97;333;24,8;320;36,4;0;;771,6;0
11130;"Kufstein";495;"30-03-2025";"01:00";5,6;5,1;97;238;2,2;133;4,7;1,1;1019,3;960,2;0
11150;"Salzburg";430;"30-03-2025";"01:00";5,7;4,8;94;240;11,2;;16,6;1,2;1018,6;965;0
11155;"Feuerkogel";1618;"30-03-2025";"01:00";-1,1;-1,3;99;316;18;300;39,6;1,1;;833,8;0
11157;"Aigen im Ennstal";640;"30-03-2025";"01:00";5,1;2,7;85;210;11,5;225;19,1;0,1;1017,3;939,8;0
11171;"Mariazell";866;"30-03-2025";"01:00";3,6;2;89;302;3,2;276;11,5;0,2;1015,6;914;0
11190;"Eisenstadt";184;"30-03-2025";"01:00";9,6;8,1;91;320;20,5;331;38,9;0,4;1011,7;989,8;0
11204;"Lienz";659;"30-03-2025";"01:00";8,2;2,6;68;123;2,2;91;10,8;0;1013,9;935,7;0
11240;"Graz/Flughafen";340;"30-03-2025";"01:00";7,8;5,3;84;310;11,2;;14,8;0;1012,6;969,2;0
11244;"Bad Gleichenberg";280;"30-03-2025";"01:00";7,5;7,1;97;240;1,1;196;5;0,1;1012,4;979,8;0
11265;"Villacher Alpe";2140;"30-03-2025";"01:00";-3;-3,1;100;359;62,6;359;75,6;1,8;;777,1;0
11331;"Klagenfurt/Flughafen";447;"30-03-2025";"01:00";6,2;5,1;94;333;2,2;225;7,2;0,4;1014,5;960,4;0
11343;"Sonnblick";3105;"30-03-2025";"01:00";-9,1;-10,4;92;22;26,3;24;51,1;;;689,7;0
11389;"St. Pölten";270;"30-03-2025";"01:00";7,9;7,4;97;236;18,7;248;31,7;2,1;1013,9;981,5;0
11010;"Linz/Hörsching";298;"30-03-2025";"03:00";7,1;6,5;96;250;18,4;;29,5;1,7;1016,4;978,6;0
11012;"Kremsmünster";383;"30-03-2025";"03:00";6,9;6,2;96;244;18;;34,6;1,1;1016,8;969,9;0
11022;"Retz";320;"30-03-2025";"03:00";9,2;5,7;80;307;21,2;301;37,4;0;1012,7;974,5;0
11035;"Wien/Hohe Warte";203;"30-03-2025";"03:00";9,2;7,6;90;299;22,3;297;45,4;0,2;1012;987;0
11036;"Wien/Schwechat";183;"30-03-2025";"03:00";9,1;8,3;95;310;14,8;;20,5;0,1;1012,2;990,2;0
11101;"Bregenz";424;"30-03-2025";"03:00";6,8;6,5;98;100;5;84;8,3;0,1;1020,1;967,6;0
11121;"Innsbruck";579;"30-03-2025";"03:00";5,8;4,5;91;35;2,2;43;6,8;0,3;1019,4;949,6;0
11126;"Patscherkofel";2247;"30-03-2025";"03:00";-3,9;-4,5;97;324;23,4;321;32;0;;771,6;0
11130;"Kufstein";495;"30-03-2025";"03:00";5,6;5,2;97;159;2,2;152;6,5;1,3;1019,3;960,2;0
11150;"Salzburg";430;"30-03-2025";"03:00";5,7;4,9;94;230;9,4;;16,6;0,8;1018,5;964,9;0
11155;"Feuerkogel";1618;"30-03-2025";"03:00";-1,1;-1,4;99;301;13,7;310;29,2;0,7;;833,7;0
11157;"Aigen im Ennstal";640;"30-03-2025";"03:00";5,2;2,7;84;212;11,2;193;18,7;0;1017,3;939,8;0
11171;"Mariazell";866;"30-03-2025";"03:00";3,6;2;90;330;4,3;280;16,2;0,1;1015,6;914;0
11190;"Eisenstadt";184;"30-03-2025";"03:00";9,3;8;92;313;18,7;329;36,7;0,6;1011,7;989,8;0
11204;"Lienz";659;"30-03-2025";"03:00";7,4;2,6;72;4;2,9;32;9,4;0;1014,2;935,8;0
11240;"Graz/Flughafen";340;"30-03-2025";"03:00";7,9;5,1;83;310;11,2;;16,6;0;1012,5;969,1;0
11244;"Bad Gleichenberg";280;"30-03-2025";"03:00";7,5;7,1;98;187;1,8;193;2,9;0;1012,1;979,5;0
11265;"Villacher Alpe";2140;"30-03-2025";"03:00";-3;-3,1;100;359;65,9;357;74,5;1,9;;777;0
11331;"Klagenfurt/Flughafen";447;"30-03-2025";"03:00";6,1;5,3;95;323;2,5;264;5;0,3;1014,5;960,4;0
11343;"Sonnblick";3105;"30-03-2025";"03:00";-9;-10,3;92;17;28,1;6;49,7;;;689,6;0
11389;"St. Pölten";270;"30-03-2025";"03:00";7,9;7,4;97;238;18,7;235;34,2;1,6;1014;981,6;0
11010;"Linz/Hörsching";298;"30-03-2025";"04:00";6,9;6,4;96;260;16,6;;25,9;1,4;1016,6;978,8;0
11012;"Kremsmünster";383;"30-03-2025";"04:00";6,9;6,1;95;251;22,3;244;35,3;0,5;1016,8;969,9;0
11022;"Retz";320;"30-03-2025";"04:00";8,9;5,7;80;305;26,6;303;38,5;0;1012,6;974,4;0
11035;"Wien/Hohe Warte";203;"30-03-2025";"04:00";9,2;7,4;88;296;23,8;284;47,9;0;1012;987;0
11036;"Wien/Schwechat";183;"30-03-2025";"04:00";9,1;7,4;89;310;24,1;;33,5;0,2;1012,1;990,1;0
11101;"Bregenz";424;"30-03-2025";"04:00";6,6;6,3;99;55;4,3;50;6,1;0;1020,5;967,9;0
11121;"Innsbruck";579;"30-03-2025";"04:00";5,9;4,6;92;;0,7;57;5,8;0,2;1019,5;949,7;0
11126;"Patscherkofel";2247;"30-03-2025";"04:00";-4,1;-4,6;97;331;24,8;320;30,2;0;;771,8;0
11130;"Kufstein";495;"30-03-2025";"04:00";5,6;5,2;97;36;0,7;236;7,2;0,5;1019,4;960,3;0
11150;"Salzburg";430;"30-03-2025";"04:00";5,6;4,9;95;220;9,4;;16,6;0,8;1018,7;965,1;0
11155;"Feuerkogel";1618;"30-03-2025";"04:00";-1,2;-1,5;99;301;15,1;274;33,1;0,5;;833,8;0
11157;"Aigen im Ennstal";640;"30-03-2025";"04:00";5,2;2,7;84;204;10,4;240;23,8;0;1017,3;939,8;0
11171;"Mariazell";866;"30-03-2025";"04:00";3,5;2,3;92;36;2,5;329;12,6;0;1015,6;914;0
11190;"Eisenstadt";184;"30-03-2025";"04:00";9,3;7,8;91;311;24,5;305;44,6;0,6;1011,5;989,6;0
11204;"Lienz";659;"30-03-2025";"04:00";7,1;2,9;75;25;2,9;96;10,4;0;1014,2;935,7;0
11240;"Graz/Flughafen";340;"30-03-2025";"04:00";7,9;5,1;82;300;11,2;;18,4;0;1012,3;968,9;0
11244;"Bad Gleichenberg";280;"30-03-2025";"04:00";7,5;7,1;98;98;1,4;197;3,2;0;1012,1;979,5;0
11265;"Villacher Alpe";2140;"30-03-2025";"04:00";-3;-3,1;100;357;62,6;357;74,2;2,1;;777,1;0
11331;"Klagenfurt/Flughafen";447;"30-03-2025";"04:00";6,1;5,2;95;317;2,9;314;7,9;0,3;1014,5;960,4;0
11343;"Sonnblick";3105;"30-03-2025";"04:00";-8,9;-10,2;92;11;39,2;20;54,4;;;689,5;0
11389;"St. Pölten";270;"30-03-2025";"04:00";7,8;7,2;96;239;20,2;243;33,1;0,7;1014,3;981,9;0
11010;"Linz/Hörsching";298;"30-03-2025";"05:00";6,8;6,3;96;270;20,5;;25,9;1,8;1017;979,2;0
11012;"Kremsmünster";383;"30-03-2025";"05:00";6,8;6;95;250;20,5;241;32,4;0,6;1017,2;970,3;0
11022;"Retz";320;"30-03-2025";"05:00";8,8;5,5;80;302;28,1;311;41,8;0;1012,6;974,4;0
11035;"Wien/Hohe Warte";203;"30-03-2025";"05:00";9,3;7,2;87;296;24,8;302;47,2;0;1012,1;987,1;0
11036;"Wien/Schwechat";183;"30-03-2025";"05:00";9,2;7,3;88;310;22,3;;33,5;0,1;1012,2;990,2;0
11101;"Bregenz";424;"30-03-2025";"05:00";6,5;6,3;99;98;4,7;65;6,5;0;1020,2;967,6;0
11121;"Innsbruck";579;"30-03-2025";"05:00";5,8;4,5;92;164;1,8;201;6,8;0;1019,6;949,8;0
11126;"Patscherkofel";2247;"30-03-2025";"05:00";-4,2;-4,8;96;320;28,1;315;37,1;0;;771,9;0
11130;"Kufstein";495;"30-03-2025";"05:00";5,6;5,2;98;247;2,2;233;7,2;0,8;1019,5;960,4;0
11150;"Salzburg";430;"30-03-2025";"05:00";5,6;5;96;220;11,2;;14,8;0,9;1018,8;965,2;0
