"Station";"Name";"Höhe m";"Datum";"Zeit";"T °C";"TP °C";"RF %";"WR °";"WG km/h";"WSR °";"WSG km/h";"N l/m²";"LDred hPa";"LDstat hPa";"SO %"
11010;"Linz/Hörsching";298;"28-03-2025";"00:00";7,2;5,1;87;0;1,8;;5,4;0;1018,6;980,7;0
11012;"Kremsmünster";383;"28-03-2025";"00:00";6,7;4,8;88;224;13,3;226;19,1;0;1018,4;971,4;0
11022;"Retz";320;"28-03-2025";"00:00";4,7;1,2;78;339;11,2;341;20,2;0;1019,1;980;0
11035;"Wien/Hohe Warte";203;"28-03-2025";"00:00";6,6;1,8;72;323;10,1;325;23,4;0;1017,5;992,1;0
11036;"Wien/Schwechat";183;"28-03-2025";"00:00";6,2;1,8;73;320;20,5;;25,9;0;1017,2;994,8;0
11101;"Bregenz";424;"28-03-2025";"00:00";4,4;3,4;93;70;4,7;63;7,6;0;1016,4;963,6;0
11121;"Innsbruck";579;"28-03-2025";"00:00";4;2;87;337;2,2;341;5;0;1017,9;947,7;0
11126;"Patscherkofel";2247;"28-03-2025";"00:00";-5,1;-6,2;93;39;5,4;31;10,1;0;;770,2;0
11130;"Kufstein";495;"28-03-2025";"00:00";4,9;2,8;86;63;7,6;49;12,2;0;1017,9;958,7;0
11150;"Salzburg";430;"28-03-2025";"00:00";2,7;2,3;97;160;7,6;;9,4;0;1018,9;964,7;0
11155;"Feuerkogel";1618;"28-03-2025";"00:00";-2;-3,6;89;115;14,8;116;28,8;0;;834,8;0
11157;"Aigen im Ennstal";640;"28-03-2025";"00:00";4,6;2,2;85;183;2,2;161;6,8;0;1018,8;941,1;0
11171;"Mariazell";866;"28-03-2025";"00:00";3,5;2,4;94;339;4,7;353;7,2;0;1018,5;916,6;0
11190;"Eisenstadt";184;"28-03-2025";"00:00";7,8;2,1;67;327;23,4;342;54,4;0;1015,3;993,2;0
11204;"Lienz";659;"28-03-2025";"00:00";3,6;-0,9;73;360;1,4;286;10,8;0;1016,1;936,4;0
11240;"Graz/Flughafen";340;"28-03-2025";"00:00";9,8;1,5;56;350;14,8;;27,7;0;1013,8;970,6;0
11244;"Bad Gleichenberg";280;"28-03-2025";"00:00";9,9;1,9;58;2;7,2;21;27,4;0;1013,6;981,2;0
11265;"Villacher Alpe";2140;"28-03-2025";"00:00";-3,5;-5,7;85;27;26,6;29;37,8;0;;778,8;0
11331;"Klagenfurt/Flughafen";447;"28-03-2025";"00:00";9,9;-0,5;48;330;8,3;334;26,6;0;1013,8;960,4;0
11343;"Sonnblick";3105;"28-03-2025";"00:00";-10,2;-13,5;78;68;58,7;68;67;;;689,9;0
11389;"St. Pölten";270;"28-03-2025";"00:00";7,4;2,2;70;354;7,2;35;13,7;0;1018,3;985,7;0
11010;"Linz/Hörsching";298;"28-03-2025";"01:00";6,6;5;90;0;1,8;;3,6;0;1017,9;980;0
11012;"Kremsmünster";383;"28-03-2025";"01:00";6,3;4,5;89;224;13,7;227;18,4;0;1017,9;970,9;0
11022;"Retz";320;"28-03-2025";"01:00";4,4;0,9;78;331;13;326;21,6;0;1018,1;979;0
11035;"Wien/Hohe Warte";203;"28-03-2025";"01:00";6,2;1,6;72;322;15,1;322;27,4;0;1016,9;991,5;0
11036;"Wien/Schwechat";183;"28-03-2025";"01:00";5,6;1,6;75;330;22,3;;29,5;0;1016,9;994,4;0
11101;"Bregenz";424;"28-03-2025";"01:00";3,9;3;94;341;3,2;64;7,6;;1015,9;963;0
11121;"Innsbruck";579;"28-03-2025";"01:00";4,7;2,1;83;83;1,4;173;5,4;0;1017,3;947,3;0
11126;"Patscherkofel";2247;"28-03-2025";"01:00";-5;-6;93;358;9,4;354;14,8;0;;769,8;0
11130;"Kufstein";495;"28-03-2025";"01:00";3,8;2,3;90;21;3,6;64;10,8;0;1017,6;958,2;0
11150;"Salzburg";430;"28-03-2025";"01:00";1,5;0,9;96;130;3,6;;11,2;0;1018,6;964,2;0
11155;"Feuerkogel";1618;"28-03-2025";"01:00";-1,9;-3,9;87;110;23;117;36,7;0;;834,2;0
11157;"Aigen im Ennstal";640;"28-03-2025";"01:00";4,3;2,2;86;227;1,8;222;6,8;0;1018,2;940,4;0
11171;"Mariazell";866;"28-03-2025";"01:00";3,3;2,5;95;315;4;295;7,2;0;1017,9;916;0
11190;"Eisenstadt";184;"28-03-2025";"01:00";7,1;2;70;329;22,3;345;48,2;0;1015,4;993,2;0
11204;"Lienz";659;"28-03-2025";"01:00";2,5;-1,1;78;300;1,8;316;6,8;0;1016,2;936,2;0
11240;"Graz/Flughafen";340;"28-03-2025";"01:00";10;1,1;54;310;5,4;;20,5;0;1013,3;970,2;0
11244;"Bad Gleichenberg";280;"28-03-2025";"01:00";9,9;2,2;59;17;1,8;22;14;0;1013,6;981,2;0
11265;"Villacher Alpe";2140;"28-03-2025";"01:00";-3,7;-5,8;86;41;29,2;57;45,7;0;;778,5;0
11331;"Klagenfurt/Flughafen";447;"28-03-2025";"01:00";9,7;-0,9;48;334;11,2;333;21,2;0;1013,4;959,9;0
11343;"Sonnblick";3105;"28-03-2025";"01:00";-9,9;-13,2;78;58;55,8;64;69,1;;;689,5;0
11389;"St. Pölten";270;"28-03-2025";"01:00";7,2;2;69;10;4,7;341;15,5;0;1017,9;985,3;0
11010;"Linz/Hörsching";298;"28-03-2025";"02:00";5,4;4,7;96;0;1,8;;5,4;0;1017,5;979,4;0
11012;"Kremsmünster";383;"28-03-2025";"02:00";5,2;4;92;298;1,8;226;14,8;0;1017,5;970,3;0
11022;"Retz";320;"28-03-2025";"02:00";4,6;0,6;76;323;13,7;315;24,5;0;1017,6;978,6;0
11035;"Wien/Hohe Warte";203;"28-03-2025";"02:00";6;1,4;72;319;13,7;296;28,1;0;1016,4;991;0
11036;"Wien/Schwechat";183;"28-03-2025";"02:00";5,2;1,4;76;330;18,4;;27,7;0;1016,6;994,1;0
11101;"Bregenz";424;"28-03-2025";"02:00";3,4;2,7;96;88;4;111;6,5;0;1015,2;962,3;0
11121;"Innsbruck";579;"28-03-2025";"02:00";5,1;2,4;83;280;6,1;282;8,6;0;1016,5;946,7;0
11126;"Patscherkofel";2247;"28-03-2025";"02:00";-5,3;-6,2;95;23;17,6;30;21,2;0;;769;0
11130;"Kufstein";495;"28-03-2025";"02:00";2,9;1,9;93;336;1,4;25;7,9;0;1017,2;957,6;0
11150;"Salzburg";430;"28-03-2025";"02:00";2,3;1,7;96;110;7,6;;9,4;0;1017,5;963,3;0
11155;"Feuerkogel";1618;"28-03-2025";"02:00";-1,8;-2,7;94;81;23,4;89;37,1;0;;833,4;0
11157;"Aigen im Ennstal";640;"28-03-2025";"02:00";3,9;2,3;90;175;2,2;215;5;0;1017,6;939,8;0
11171;"Mariazell";866;"28-03-2025";"02:00";2,7;1,6;93;357;5,4;355;9,4;0;1017,4;915,3;0
11190;"Eisenstadt";184;"28-03-2025";"02:00";6,5;1,8;72;317;24,5;332;43,2;0;1014,8;992,6;0
11204;"Lienz";659;"28-03-2025";"02:00";1,5;-1,6;80;348;1,8;311;8,6;0;1015,8;935,6;0
11240;"Graz/Flughafen";340;"28-03-2025";"02:00";9,8;1,4;56;0;1,8;;13;0;1012,9;969,7;0
11244;"Bad Gleichenberg";280;"28-03-2025";"02:00";9,7;2,7;62;352;9,7;347;27,7;0;1012,6;980,2;0
11265;"Villacher Alpe";2140;"28-03-2025";"02:00";-3,3;-5,8;83;47;36,4;53;54,4;0;;777,9;0
11331;"Klagenfurt/Flughafen";447;"28-03-2025";"02:00";9,5;-0,9;49;348;9,4;334;21,2;0;1012,7;959,2;0
11343;"Sonnblick";3105;"28-03-2025";"02:00";-10;-13,9;73;61;60,8;64;70,9;;;688,8;0
11389;"St. Pölten";270;"28-03-2025";"02:00";6,7;2,2;73;311;1,4;30;9,7;0;1017,4;984,7;0
11010;"Linz/Hörsching";298;"28-03-2025";"03:00";4;3,6;97;0;1,8;;7,6;0;1017;978,8;0
11012;"Kremsmünster";383;"28-03-2025";"03:00";4,4;3,6;94;114;3,2;135;6,1;0;1016,9;969,6;0
11022;"Retz";320;"28-03-2025";"03:00";4;0,3;77;334;13;347;24,8;0;1017;977,9;0
11035;"Wien/Hohe Warte";203;"28-03-2025";"03:00";5,5;1,2;74;319;14,8;314;28,1;0;1015,8;990,3;0
11036;"Wien/Schwechat";183;"28-03-2025";"03:00";5;1,3;77;320;18,4;;27,7;0;1016;993,5;0
11101;"Bregenz";424;"28-03-2025";"03:00";3,1;2,4;96;116;4;179;7,2;0;1015,1;962,1;0
11121;"Innsbruck";579;"28-03-2025";"03:00";5,2;2,6;83;288;0,7;283;8,6;0;1015,6;945,9;0
11126;"Patscherkofel";2247;"28-03-2025";"03:00";-5,6;-6,2;97;31;18;34;27,7;0;;768,5;0
11130;"Kufstein";495;"28-03-2025";"03:00";2,2;1,4;94;85;1,4;19;5,4;0;1016,7;957;0
11150;"Salzburg";430;"28-03-2025";"03:00";0;-0,3;98;170;5,4;;9,4;0;1017,6;962,9;0
11155;"Feuerkogel";1618;"28-03-2025";"03:00";-1,7;-2,1;98;79;22,7;86;30,6;0;;832,7;0
11157;"Aigen im Ennstal";640;"28-03-2025";"03:00";3,9;2,4;90;121;2,2;291;6,5;0;1017;939,2;0
11171;"Mariazell";866;"28-03-2025";"03:00";2,2;1,6;96;342;2,9;3;8,6;0;1016,9;914,7;0
11190;"Eisenstadt";184;"28-03-2025";"03:00";6,2;1,6;73;328;18,4;332;47,9;0;1014,4;992,2;0
11204;"Lienz";659;"28-03-2025";"03:00";2,3;-1,5;77;289;4,3;277;9,4;0;1015,3;935,3;0
11240;"Graz/Flughafen";340;"28-03-2025";"03:00";9,4;2,4;62;290;5,4;;9,4;0;1012,3;969,1;0
11244;"Bad Gleichenberg";280;"28-03-2025";"03:00";9,8;2,5;61;354;8,6;15;24,1;0;1012,1;979,7;0
11265;"Villacher Alpe";2140;"28-03-2025";"03:00";-3,3;-5,8;83;49;38,5;53;52,2;0;;777,5;0
11331;"Klagenfurt/Flughafen";447;"28-03-2025";"03:00";9,3;-0,8;50;339;7,9;29;27,7;0;1012,4;958,9;0
11343;"Sonnblick";3105;"28-03-2025";"03:00";-9,9;-13,6;74;62;54,4;68;71,3;;;688,5;0
11389;"St. Pölten";270;"28-03-2025";"03:00";5,8;2,3;78;214;1,8;188;5,8;0;1016,9;984,1;0
