"Station";"Name";"Höhe m";"Datum";"Zeit";"T °C";"TP °C";"RF %";"WR °";"WG km/h";"WSR °";"WSG km/h";"N l/m²";"LDred hPa";"LDstat hPa";"SO %"
11010;"Linz/Hörsching";298;"20-06-2024";"00:00";23;17;69;110;7,6;;16,6;0,1;1016,4;980,7;0
11012;"Kremsmünster";383;"20-06-2024";"00:00";23,4;18,9;77;228;14,8;226;22,3;0;1016,2;972,1;0
11022;"Retz";320;"20-06-2024";"00:00";19,8;14,9;73;91;4;321;40;0;1018,3;981,4;0
11035;"Wien/Hohe Warte";203;"20-06-2024";"00:00";23,7;17,7;69;359;16,2;340;48,2;0;1016,2;992,4;0
11036;"Wien/Schwechat";183;"20-06-2024";"00:00";24;17,8;68;350;29,5;;51,8;0;1016,2;995,2;0
11101;"Bregenz";424;"20-06-2024";"00:00";22,6;17,4;73;278;2,2;146;26,3;0;1014,9;965,5;0
11121;"Innsbruck";579;"20-06-2024";"00:00";22,6;17,5;73;271;6,5;190;17,3;0;1016,2;950,7;0
11126;"Patscherkofel";2247;"20-06-2024";"00:00";13,4;9,3;77;176;29,9;190;43,2;0;;783,5;0
11130;"Kufstein";495;"20-06-2024";"00:00";22,3;17,4;74;80;5,4;91;11,5;0;1016,2;960,7;0
11150;"Salzburg";430;"20-06-2024";"00:00";21,4;17,8;80;180;3,6;;13;0;1016,6;966,1;0
11155;"Feuerkogel";1618;"20-06-2024";"00:00";17;11,3;69;301;14,8;310;18,7;0;;843,8;0
11157;"Aigen im Ennstal";640;"20-06-2024";"00:00";19,8;15,6;78;234;1,4;172;10,8;0;1017,2;943,7;0
11171;"Mariazell";866;"20-06-2024";"00:00";17,4;13,8;80;129;6,1;130;11,5;0;1018,2;921,2;0
11190;"Eisenstadt";184;"20-06-2024";"00:00";27,2;18,8;60;326;20,2;324;33,8;0;1014,3;993,7;0
11204;"Lienz";659;"20-06-2024";"00:00";20,5;16,6;78;315;4,7;275;12,6;0;1017,5;942,5;0
11240;"Graz/Flughafen";340;"20-06-2024";"00:00";23,8;19,8;78;40;3,6;;5,4;0;1014,6;973,6;0
11244;"Bad Gleichenberg";280;"20-06-2024";"00:00";21,4;19,1;86;218;0,7;328;4;0;1015,1;984;0
11265;"Villacher Alpe";2140;"20-06-2024";"00:00";14,8;10,8;76;288;43,6;288;47,5;0;;792,6;0
11331;"Klagenfurt/Flughafen";447;"20-06-2024";"00:00";24,5;14,3;53;224;2,9;183;11,2;0;1015,6;964,8;0
11343;"Sonnblick";3105;"20-06-2024";"00:00";6,9;3,3;78;269;52,2;269;59,8;;;706,9;0
11389;"St. Pölten";270;"20-06-2024";"00:00";24;17,2;66;45;15,1;50;30,2;0;1017,2;986,5;0
11010;"Linz/Hörsching";298;"20-06-2024";"01:00";22,1;17,2;74;90;11,2;;22,3;0;1016,9;981,1;0
11012;"Kremsmünster";383;"20-06-2024";"01:00";21,4;19,1;87;63;9,4;227;16,9;0;1016,9;972,5;0
11022;"Retz";320;"20-06-2024";"01:00";18,8;14,3;75;325;10,4;333;20,2;0;1019,4;982,3;0
11035;"Wien/Hohe Warte";203;"20-06-2024";"01:00";22,5;16,4;68;343;11,2;351;41,8;0;1017,9;993,9;0
11036;"Wien/Schwechat";183;"20-06-2024";"01:00";22;16,6;72;340;24,1;;51,8;0;1017,7;996,6;0
11101;"Bregenz";424;"20-06-2024";"01:00";22,2;17,8;76;157;9,7;157;13,7;0;1015;965,6;0
11121;"Innsbruck";579;"20-06-2024";"01:00";20,9;17,2;79;176;2,5;253;11,2;0;1016,4;950,5;0
11126;"Patscherkofel";2247;"20-06-2024";"01:00";13;9,6;80;167;43,2;179;61,9;0;;783,1;0
11130;"Kufstein";495;"20-06-2024";"01:00";21,3;17,5;78;31;7,2;75;14;0;1016,4;960,7;0
11150;"Salzburg";430;"20-06-2024";"01:00";20,5;17,3;82;240;5,4;;9,4;0;1016,8;966,1;0
11155;"Feuerkogel";1618;"20-06-2024";"01:00";16,1;13,1;82;13;5,4;302;18;0;;843,5;0
11157;"Aigen im Ennstal";640;"20-06-2024";"01:00";20,2;14,3;69;211;2,9;285;6,5;0;1017;943,6;0
11171;"Mariazell";866;"20-06-2024";"01:00";16,5;13,5;83;132;4,3;137;10,1;0;1018,5;921,2;0
