"Station";"Name";"Höhe m";"Datum";"Zeit";"T °C";"TP °C";"RF %";"WR °";"WG km/h";"WSR °";"WSG km/h";"N l/m²";"LDred hPa";"LDstat hPa";"SO %"
11010;"Linz/Hörsching";298;"22-09-2025";"00:00";16,9;15,5;91;250;3,6;;7,6;0;1009,6;973,4;0
11012;"Kremsmünster";383;"22-09-2025";"00:00";18,6;15,6;83;223;25,6;225;29,5;0;1009,4;964,8;0
11022;"Retz";320;"22-09-2025";"00:00";20,1;13,2;64;50;8,3;36;12,6;0;1009,7;973,1;0
11035;"Wien/Hohe Warte";203;"22-09-2025";"00:00";19,5;13,8;70;188;4,7;163;13;0;1010,1;986,1;0
11036;"Wien/Schwechat";183;"22-09-2025";"00:00";20,8;13,8;64;150;22,3;;46,4;0;1010,5;989,4;0
11101;"Bregenz";424;"22-09-2025";"00:00";16,6;15,8;96;114;2,5;123;11,2;1,6;1013,4;963,1;0
11121;"Innsbruck";579;"22-09-2025";"00:00";19;12,4;66;278;10,1;105;41,4;0;1010,8;944,7;0
11126;"Patscherkofel";2247;"22-09-2025";"00:00";9,2;5,2;76;171;70,6;172;93,2;0;;775,9;0
11130;"Kufstein";495;"22-09-2025";"00:00";18,7;15,2;80;17;8,6;19;16,9;0;1011,1;955,2;0
11150;"Salzburg";430;"22-09-2025";"00:00";17,3;14,9;85;0;1,8;;14,8;0;1010,8;959,8;0
11155;"Feuerkogel";1618;"22-09-2025";"00:00";15,8;6,9;55;190;26,6;188;32,8;0;;836,5;0
11157;"Aigen im Ennstal";640;"22-09-2025";"00:00";12,7;10,8;89;138;1,1;196;7,2;0;1013;938;0
11171;"Mariazell";866;"22-09-2025";"00:00";14,9;10,4;75;24;2,2;33;7,6;0;1011,7;914,4;0
11190;"Eisenstadt";184;"22-09-2025";"00:00";20,1;14,1;69;60;16,6;55;23,8;0;1010,7;989,7;0
11204;"Lienz";659;"22-09-2025";"00:00";16,5;12,7;78;309;1,1;316;9,4;0;1014,8;938,9;0
11240;"Graz/Flughafen";340;"22-09-2025";"00:00";15,3;13,7;90;60;3,6;;9,4;0;1013;970,8;0
11244;"Bad Gleichenberg";280;"22-09-2025";"00:00";15,3;13,9;92;360;1,8;352;7,6;0;1013,2;981,5;0
11265;"Villacher Alpe";2140;"22-09-2025";"00:00";8;8;100;237;50,4;231;59,4;0;;787;0
11331;"Klagenfurt/Flughafen";447;"22-09-2025";"00:00";15,5;12,6;82;1;4;312;6,8;0;1014,6;962,3;0
11343;"Sonnblick";3105;"22-09-2025";"00:00";2,7;2,6;99;225;52,9;239;68,4;;;699,8;0
11389;"St. Pölten";270;"22-09-2025";"00:00";15,9;14,2;89;339;1,8;356;10,1;0;1009,5;978,2;0
11010;"Linz/Hörsching";298;"22-09-2025";"01:00";16,5;15,6;94;260;3,6;;5,4;0;1009,9;973,7;0
11012;"Kremsmünster";383;"22-09-2025";"01:00";18,2;15,2;83;217;19,8;225;27,7;0;1009,4;964,8;0
11022;"Retz";320;"22-09-2025";"01:00";19,1;13,3;69;36;9;48;15,5;0;1009,6;972,9;0
11035;"Wien/Hohe Warte";203;"22-09-2025";"01:00";20;13,9;68;191;6,5;164;24,5;0;1009,8;985,8;0
11036;"Wien/Schwechat";183;"22-09-2025";"01:00";19,6;13;66;150;24,1;;37,1;0;1010,1;988,9;0
11101;"Bregenz";424;"22-09-2025";"01:00";16,6;15,7;95;283;3,2;302;7,6;;1011,8;961,6;0
11121;"Innsbruck";579;"22-09-2025";"01:00";18,2;12,1;68;249;5;283;23,4;0;1010,7;944,5;0
11126;"Patscherkofel";2247;"22-09-2025";"01:00";9,2;4,4;72;167;64,4;163;91,4;0;;775,9;0
11130;"Kufstein";495;"22-09-2025";"01:00";19,7;14,9;74;49;18;36;40;0;1011,7;955,9;0
11150;"Salzburg";430;"22-09-2025";"01:00";18;14,7;81;360;14,8;;24,1;0;1011,6;960,7;0
11155;"Feuerkogel";1618;"22-09-2025";"01:00";15,3;6,9;57;206;22,3;204;34,2;0;;836,5;0
11157;"Aigen im Ennstal";640;"22-09-2025";"01:00";12,4;10,5;89;196;5,4;224;11,2;0;1013,2;938,1;0
11171;"Mariazell";866;"22-09-2025";"01:00";13,3;9,8;80;150;3,2;136;6,1;0;1011,9;914,1;0
11190;"Eisenstadt";184;"22-09-2025";"01:00";19;14;73;64;12,6;67;23,8;0;1010,3;989,2;0
11204;"Lienz";659;"22-09-2025";"01:00";15;12,5;85;179;1,1;316;6,1;0;1015,1;938,8;0
11240;"Graz/Flughafen";340;"22-09-2025";"01:00";14,6;13,8;95;0;1,8;;7,6;0;1012,8;970,5;0
11244;"Bad Gleichenberg";280;"22-09-2025";"01:00";14,6;13,3;93;340;2,9;86;6,5;0;1012,9;981,1;0
11265;"Villacher Alpe";2140;"22-09-2025";"01:00";7,7;7,6;100;239;54,7;237;62,6;0;;786,6;0
11331;"Klagenfurt/Flughafen";447;"22-09-2025";"01:00";14,7;12,4;86;314;2,2;216;9,4;0;1014,7;962,2;0
11343;"Sonnblick";3105;"22-09-2025";"01:00";2,2;1,8;97;228;52,6;236;67,7;;;699,6;0
11389;"St. Pölten";270;"22-09-2025";"01:00";15;13,7;92;285;0,7;352;9;0;1009,5;978,1;0
11010;"Linz/Hörsching";298;"22-09-2025";"02:00";16,5;15,2;92;260;13;;16,6;0;1010,5;974,2;0
11012;"Kremsmünster";383;"22-09-2025";"02:00";18;15,2;84;248;20,5;248;30,2;0;1010,3;965,6;0
