"Station";"Name";"Höhe m";"Datum";"Zeit";"T °C";"TP °C";"RF %";"WR °";"WG km/h";"WSR °";"WSG km/h";"N l/m²";"LDred hPa";"LDstat hPa";"SO %"
11010;"Linz/Hörsching";298;"28-12-2023";"00:00";1,9;1,5;98;0;1,8;;3,6;0;1022;983,3;0
11012;"Kremsmünster";383;"28-12-2023";"00:00";3,1;1,7;91;258;1,8;283;8,3;0;1021,8;974;0
11022;"Retz";320;"28-12-2023";"00:00";3,8;2,2;90;35;6,5;28;8,3;0;1022;982,7;0
11035;"Wien/Hohe Warte";203;"28-12-2023";"00:00";3,5;2,5;93;161;1,4;81;4,3;0;1021,7;995,9;0
11036;"Wien/Schwechat";183;"28-12-2023";"00:00";4,1;2,8;91;120;7,6;;14,8;0;1022;999,3;0
11101;"Bregenz";424;"28-12-2023";"00:00";0,7;-0,2;95;80;2,5;126;10,4;0;1023,1;969,2;0
11121;"Innsbruck";579;"28-12-2023";"00:00";-2,6;-3,8;92;180;4;164;8,6;0;1027,2;954,7;0
11126;"Patscherkofel";2247;"28-12-2023";"00:00";2,5;-14,8;27;184;29,5;183;37,8;0;;778,6;0
11130;"Kufstein";495;"28-12-2023";"00:00";1,2;-2,1;79;250;3,2;267;23;0;1024,2;963,8;0
11150;"Salzburg";430;"28-12-2023";"00:00";6,4;-2,8;52;160;27,7;;37,1;0;1020,3;966,7;0
11155;"Feuerkogel";1618;"28-12-2023";"00:00";9;-12,2;21;290;16,6;282;40;0;;840,4;0
11157;"Aigen im Ennstal";640;"28-12-2023";"00:00";-1,4;-3;90;246;2,9;223;5,4;0;1027,6;947,5;0
11171;"Mariazell";866;"28-12-2023";"00:00";-0,3;-2,3;86;116;7,9;133;19,8;0;1025,2;921,2;0
11190;"Eisenstadt";184;"28-12-2023";"00:00";3,8;2,7;93;344;7,2;354;14;0;1021,6;999;0
11204;"Lienz";659;"28-12-2023";"00:00";-3,4;-4,6;93;0;0;186;6,8;0;1030,1;947,3;0
11240;"Graz/Flughafen";340;"28-12-2023";"00:00";-0,6;-0,6;100;10;3,6;;5,4;0;1024,5;979,2;0
11244;"Bad Gleichenberg";280;"28-12-2023";"00:00";0,2;0,3;100;312;2,5;172;4,7;0;1024,1;990,2;0
11265;"Villacher Alpe";2140;"28-12-2023";"00:00";2,9;-11,6;34;244;59,8;245;64,4;0;;787,9;0
11331;"Klagenfurt/Flughafen";447;"28-12-2023";"00:00";-2,1;-2,4;100;332;1,4;312;8,3;0;1028,6;972;0
11343;"Sonnblick";3105;"28-12-2023";"00:00";-1,9;-17,1;31;273;31;279;47,5;;;700,3;0
11389;"St. Pölten";270;"28-12-2023";"00:00";2,3;1,2;93;81;0,7;199;5,8;0;1021,7;988,4;0
11010;"Linz/Hörsching";298;"28-12-2023";"01:00";1,1;1,1;100;0;1,8;;3,6;0;1022,3;983,4;0
11012;"Kremsmünster";383;"28-12-2023";"01:00";2;0,9;93;248;4,3;226;11,5;0;1022,1;974,1;0
11022;"Retz";320;"28-12-2023";"01:00";3,5;2,3;92;30;8,3;30;10,1;0;1022;982,6;0
11035;"Wien/Hohe Warte";203;"28-12-2023";"01:00";3,2;2,4;94;114;5,8;114;8,6;0;1021,7;995,9;0
11036;"Wien/Schwechat";183;"28-12-2023";"01:00";3,6;2,5;92;120;7,6;;16,6;0;1021,9;999,2;0
11101;"Bregenz";424;"28-12-2023";"01:00";1,6;0,3;92;355;6,8;248;24,8;0;1022,9;969,2;0
11121;"Innsbruck";579;"28-12-2023";"01:00";-2,2;-3,5;91;277;11,5;263;14;0;1027;954,6;0
11126;"Patscherkofel";2247;"28-12-2023";"01:00";3,2;-15,1;25;177;29,9;168;42,5;0;;778,5;0
11130;"Kufstein";495;"28-12-2023";"01:00";0,5;-2,2;82;328;0,7;273;26,3;0;1025,1;964,5;0
11150;"Salzburg";430;"28-12-2023";"01:00";6,6;-3,2;50;160;24,1;;42,5;0;1021;967,4;0
11155;"Feuerkogel";1618;"28-12-2023";"01:00";9,3;-14,4;17;341;3,2;257;32,8;0;;840,2;0
