"Station";"Name";"Höhe m";"Datum";"Zeit";"T °C";"TP °C";"RF %";"WR °";"WG km/h";"WSR °";"WSG km/h";"N l/m²";"LDred hPa";"LDstat hPa";"SO %"
11010;"Linz/Hörsching";298;"13-01-2023";"00:00";5,7;1,3;73;250;11,2;;16,6;0;1018,4;980,3;0
11012;"Kremsmünster";383;"13-01-2023";"00:00";7,7;1,5;65;231;20,9;244;32;0;1018,2;971,3;0
11022;"Retz";320;"13-01-2023";"00:00";5,9;1,3;73;204;12,6;221;19,8;0;1017,5;978,6;0
11035;"Wien/Hohe Warte";203;"13-01-2023";"00:00";6,8;1,4;69;246;6,5;243;9;0;1018,2;992,8;0
11036;"Wien/Schwechat";183;"13-01-2023";"00:00";4,3;2,2;86;180;16,6;;18,4;0;1018,9;996,3;0
11101;"Bregenz";424;"13-01-2023";"00:00";6,9;-0,5;60;129;18,7;127;31,7;0;1019,6;967;0
11121;"Innsbruck";579;"13-01-2023";"00:00";-0,2;-0,6;98;288;2,2;269;13,3;0;1021,9;950,4;0
11126;"Patscherkofel";2247;"13-01-2023";"00:00";1,2;-17,5;24;218;10,8;243;29,9;0;;773,2;0
11130;"Kufstein";495;"13-01-2023";"00:00";0,9;0,3;96;150;2,2;216;6,5;0;1021,7;961,4;0
11150;"Salzburg";430;"13-01-2023";"00:00";2,1;0,2;87;160;22,3;;37,1;0;1020,3;965,9;0
11155;"Feuerkogel";1618;"13-01-2023";"00:00";-0,3;-4,9;72;301;16,2;295;47,5;0;;835,8;0
11157;"Aigen im Ennstal";640;"13-01-2023";"00:00";0,6;0,6;100;231;3,2;221;6,8;0;1023;943,8;
11171;"Mariazell";866;"13-01-2023";"00:00";-0,1;-2,6;84;141;11,2;141;23,8;0;1021,5;917,9;0
11190;"Eisenstadt";184;"13-01-2023";"00:00";3,9;0,8;81;339;4,7;5;11,5;0;1018,8;996,3;0
11204;"Lienz";659;"13-01-2023";"00:00";-3,6;-4,5;94;314;1,4;292;6,1;0;1025,7;943,2;0
11240;"Graz/Flughafen";340;"13-01-2023";"00:00";-0,6;-1,1;96;30;3,6;;7,6;0;1021,1;976;0
11244;"Bad Gleichenberg";280;"13-01-2023";"00:00";0,8;0,3;96;324;2,5;326;7,9;0;1021;987,3;0
11265;"Villacher Alpe";2140;"13-01-2023";"00:00";-3,7;-5,8;86;246;40,7;251;47,5;0;;782,5;0
11331;"Klagenfurt/Flughafen";447;"13-01-2023";"00:00";-0,7;-1,1;99;288;4;284;7,9;0;1023,7;967,7;0
11343;"Sonnblick";3105;"13-01-2023";"00:00";-6,8;-18,8;39;282;30,2;267;56,2;;;693,3;0
11389;"St. Pölten";270;"13-01-2023";"00:00";5,1;0,9;75;185;7,6;241;11,2;0;1018,5;985,6;0
11010;"Linz/Hörsching";298;"13-01-2023";"02:00";4,2;1,1;80;220;3,6;;9,4;0;1017,9;979,6;0
11012;"Kremsmünster";383;"13-01-2023";"02:00";7,8;0,8;61;225;19,8;226;33,1;0;1017,5;970,7;0
11022;"Retz";320;"13-01-2023";"02:00";6,4;1,2;70;232;15,5;225;28,1;0;1017;978,2;0
11035;"Wien/Hohe Warte";203;"13-01-2023";"02:00";6,5;1,6;71;256;8,3;252;14;0;1017,7;992,3;0
11036;"Wien/Schwechat";183;"13-01-2023";"02:00";4;1,6;84;170;16,6;;18,4;0;1018,2;995,6;0
11101;"Bregenz";424;"13-01-2023";"02:00";5,9;-0,4;65;142;13;148;29,5;0;1018,2;965,5;0
11121;"Innsbruck";579;"13-01-2023";"02:00";0;-0,6;97;0;0;162;12,2;0;1021,3;949,9;0
11126;"Patscherkofel";2247;"13-01-2023";"02:00";0,4;-14,5;32;215;16,9;218;31;0;;772,4;0
11130;"Kufstein";495;"13-01-2023";"02:00";1;0,1;94;207;2,2;236;10,8;0;1020,9;960,7;0
11150;"Salzburg";430;"13-01-2023";"02:00";2,7;0,1;83;150;16,6;;31,3;0;1019,8;965,5;0
11155;"Feuerkogel";1618;"13-01-2023";"02:00";0,3;-5,2;67;289;20,9;260;60,8;0;;835,2;0
11157;"Aigen im Ennstal";640;"13-01-2023";"02:00";0,4;-0,1;95;286;1,8;224;6,8;0;1022,6;943,4;
11171;"Mariazell";866;"13-01-2023";"02:00";0,1;-2,6;83;149;18;160;28,1;0;1020,5;917,1;0
11190;"Eisenstadt";184;"13-01-2023";"02:00";3,3;1,3;87;315;3,2;293;19,1;0;1018,2;995,7;0
11204;"Lienz";659;"13-01-2023";"02:00";-2,1;-3,5;90;299;6,5;310;9;0;1023,7;941,8;0
11240;"Graz/Flughafen";340;"13-01-2023";"02:00";-0,4;-0,8;97;190;3,6;;9,4;0;1020,5;975,4;0
11244;"Bad Gleichenberg";280;"13-01-2023";"02:00";0,9;0,5;96;319;2,9;326;5,4;0;1020,4;986,7;0
11265;"Villacher Alpe";2140;"13-01-2023";"02:00";-2,9;-7,6;70;257;41,4;256;49;0;;782,3;0
11331;"Klagenfurt/Flughafen";447;"13-01-2023";"02:00";-0,5;-1;98;303;6,5;297;8,3;0;1022,9;967;0
11343;"Sonnblick";3105;"13-01-2023";"02:00";-7;-13,2;62;289;35,3;289;58,7;;;692,6;0
11389;"St. Pölten";270;"13-01-2023";"02:00";4,2;1,3;82;173;5,4;155;10,8;0;1018,1;985,1;0
