"Station";"Name";"Höhe m";"Datum";"Zeit";"T °C";"TP °C";"RF %";"WR °";"WG km/h";"WSR °";"WSG km/h";"N l/m²";"LDred hPa";"LDstat hPa";"SO %"
11010;"Linz/Hörsching";298;"03-06-2025";"00:00";16,5;15,9;96;0;1,8;;9,4;0;1017;980,5;0
11012;"Kremsmünster";383;"03-06-2025";"00:00";16,3;15,6;96;219;7,9;224;12,2;0;1016,8;971,5;0
11022;"Retz";320;"03-06-2025";"00:00";15,6;14,5;93;275;2,9;305;14;0;1016,4;979;0
11035;"Wien/Hohe Warte";203;"03-06-2025";"00:00";17,5;16,7;95;323;2,2;338;13,3;1,2;1016;991,7;0
11036;"Wien/Schwechat";183;"03-06-2025";"00:00";17,2;16,4;95;320;9,4;;16,6;0,2;1016,2;994,7;0
11101;"Bregenz";424;"03-06-2025";"00:00";15,9;15;95;129;9,4;113;15,5;3,6;1017,5;966,8;0
11121;"Innsbruck";579;"03-06-2025";"00:00";15,5;14,4;93;291;2,2;227;9;0,8;1018,3;951;0
11126;"Patscherkofel";2247;"03-06-2025";"00:00";5,4;4,5;95;328;9,7;327;22;0,9;;779,1;0
11130;"Kufstein";495;"03-06-2025";"00:00";15,5;14,9;97;104;1,4;100;4,7;1,1;1017,8;960,9;0
11150;"Salzburg";430;"03-06-2025";"00:00";16;14,8;92;130;9,4;;20,5;0;1017,5;966;0
11155;"Feuerkogel";1618;"03-06-2025";"00:00";10,3;8;86;296;22,3;264;57,6;0,1;;840;0
11157;"Aigen im Ennstal";640;"03-06-2025";"00:00";14,8;14,1;96;229;4,7;241;7,9;2,6;1018,2;943,4;0
11171;"Mariazell";866;"03-06-2025";"00:00";13;12,8;99;143;6,5;136;12,2;0;1017,5;919,1;0
11190;"Eisenstadt";184;"03-06-2025";"00:00";18,1;17,1;94;34;2,2;308;20,9;0,1;1015,5;994,2;0
11204;"Lienz";659;"03-06-2025";"00:00";15,2;14;93;209;0,7;213;9,4;0,8;1018,1;941,6;0
11240;"Graz/Flughafen";340;"03-06-2025";"00:00";20;14,2;69;250;3,6;;29,5;0;1015,1;973,5;0
11244;"Bad Gleichenberg";280;"03-06-2025";"00:00";19,5;15,9;81;86;2,5;324;11,2;0;1015,3;984;0
11265;"Villacher Alpe";2140;"03-06-2025";"00:00";8,2;8,2;100;251;55,1;248;69,5;0,1;;788,4;0
11331;"Klagenfurt/Flughafen";447;"03-06-2025";"00:00";21,6;12,1;55;20;2,5;226;16,2;0;1015,3;964;0
11343;"Sonnblick";3105;"03-06-2025";"00:00";1,1;0,8;99;245;21,6;257;36,7;;;700,9;0
11389;"St. Pölten";270;"03-06-2025";"00:00";16,6;15,8;95;244;10,4;236;18,4;0;1016,3;984,9;0
11010;"Linz/Hörsching";298;"03-06-2025";"01:00";16,4;16,1;98;0;1,8;;5,4;0;1016,9;980,4;0
11012;"Kremsmünster";383;"03-06-2025";"01:00";15,8;15;95;242;13,7;248;19,8;0;1016,8;971,5;0
11022;"Retz";320;"03-06-2025";"01:00";15,2;14;93;289;4,3;327;7,2;0;1016,1;978,6;0
11035;"Wien/Hohe Warte";203;"03-06-2025";"01:00";17,4;16,7;96;287;7,2;341;12,2;0;1015,7;991,4;0
11036;"Wien/Schwechat";183;"03-06-2025";"01:00";16,5;15,8;95;340;7,6;;14,8;0,3;1016,1;994,6;0
11101;"Bregenz";424;"03-06-2025";"01:00";16,1;14,8;93;120;13,3;121;26,6;0,5;1017,2;966,6;0
11121;"Innsbruck";579;"03-06-2025";"01:00";15,1;14,1;93;290;2,9;182;7,2;0,7;1018,3;950,9;0
11126;"Patscherkofel";2247;"03-06-2025";"01:00";5,6;4,7;94;313;6,5;318;16,6;0,5;;778,9;0
11130;"Kufstein";495;"03-06-2025";"01:00";15,3;14,8;97;229;2,2;241;4,3;0,9;1017,9;960,9;0
