"Station";"Name";"Höhe m";"Datum";"Zeit";"T °C";"TP °C";"RF %";"WR °";"WG km/h";"WSR °";"WSG km/h";"N l/m²";"LDred hPa";"LDstat hPa";"SO %"
11010;"Linz/Hörsching";298;"12-07-2026";"00:00";22,7;9;42;60;11,2;;24,1;0;1018,2;982,3;0
11012;"Kremsmünster";383;"12-07-2026";"00:00";20,7;10,9;53;54;9,4;31;14,4;0;1018,2;973,5;0
11022;"Retz";320;"12-07-2026";"00:00";19,7;8,3;48;338;10,1;352;22,7;0;1018,3;981,3;0
11035;"Wien/Hohe Warte";203;"12-07-2026";"00:00";22,6;8,9;42;13;6,8;45;18,4;0;1017,9;993,9;0
11036;"Wien/Schwechat";183;"12-07-2026";"00:00";20,1;10,4;54;20;7,6;;13;0;1018,1;996,8;0
11101;"Bregenz";424;"12-07-2026";"00:00";26,4;7,9;31;73;7,2;55;41,8;0;1014,9;966;0
11121;"Innsbruck";579;"12-07-2026";"00:00";20,2;11,9;59;270;5,8;317;12,2;0;1017,2;951;0
11126;"Patscherkofel";2247;"12-07-2026";"00:00";11,1;5,9;71;2;15,5;9;20,2;0;;782,7;0
11130;"Kufstein";495;"12-07-2026";"00:00";19,4;11,8;61;0;0;227;5;0;1017,7;961,5;0
11150;"Salzburg";430;"12-07-2026";"00:00";19;11,9;64;190;3,6;;7,6;0;1017,8;966,7;0
11155;"Feuerkogel";1618;"12-07-2026";"00:00";12,6;7,1;69;339;6,1;331;13,7;0;;843,2;0
11157;"Aigen im Ennstal";640;"12-07-2026";"00:00";14,8;11;79;269;0,7;197;6,8;0;1019,2;944,2;0
11171;"Mariazell";866;"12-07-2026";"00:00";15,2;9,6;69;339;3,6;308;6,1;0;1019,6;921,6;0
11190;"Eisenstadt";184;"12-07-2026";"00:00";21,1;10,7;52;356;14,4;15;18,4;0;1017,5;996,4;0
11204;"Lienz";659;"12-07-2026";"00:00";22,1;15,3;66;103;12,6;103;23,8;0;1016,1;941,5;0
11240;"Graz/Flughafen";340;"12-07-2026";"00:00";17,7;15,6;87;0;1,8;;29,5;0;1018,4;976,3;0
11244;"Bad Gleichenberg";280;"12-07-2026";"00:00";17,4;15,6;89;104;7,2;322;36,7;8,5;1018,3;986,7;0
11265;"Villacher Alpe";2140;"12-07-2026";"00:00";11,9;9,5;85;360;6,8;26;17,3;0;;790,9;0
11331;"Klagenfurt/Flughafen";447;"12-07-2026";"00:00";17,4;15,6;90;6;3,2;64;10,8;0;1018,3;966,2;0
11343;"Sonnblick";3105;"12-07-2026";"00:00";4,8;-0,7;68;329;19,8;329;38,9;;;705,1;0
11389;"St. Pölten";270;"12-07-2026";"00:00";20,9;11,3;54;45;1,8;339;12,2;0;1018,1;987;0
11010;"Linz/Hörsching";298;"12-07-2026";"01:00";21,2;9,3;47;20;7,6;;20,5;0;1018,6;982,5;0
11012;"Kremsmünster";383;"12-07-2026";"01:00";19,9;10,1;53;76;6,5;26;16,9;0;1018,6;973,7;0
11022;"Retz";320;"12-07-2026";"01:00";18,1;8,3;53;36;2,5;342;11,9;0;1019,1;981,8;0
11035;"Wien/Hohe Warte";203;"12-07-2026";"01:00";21,7;9,2;45;333;4,3;360;11,5;0;1017,9;993,8;0
11036;"Wien/Schwechat";183;"12-07-2026";"01:00";19,7;10,5;55;330;7,6;;9,4;0;1018,2;996,8;0
11101;"Bregenz";424;"12-07-2026";"01:00";21,9;10,3;48;287;1,1;295;13;0;1016,5;966,8;0
11121;"Innsbruck";579;"12-07-2026";"01:00";18,7;11,6;63;288;1,1;157;7,9;0;1018,2;951,6;0
11126;"Patscherkofel";2247;"12-07-2026";"01:00";11,1;5,8;70;348;16,6;3;26,3;0;;783,1;0
11130;"Kufstein";495;"12-07-2026";"01:00";17,6;12,5;73;60;1,1;212;4,3;0;1018,4;961,8;0
11150;"Salzburg";430;"12-07-2026";"01:00";17,5;12;70;230;3,6;;7,6;0,1;1018,3;966,9;0
11155;"Feuerkogel";1618;"12-07-2026";"01:00";12,6;6,7;67;57;9,4;64;12,6;0;;843,2;0
11157;"Aigen im Ennstal";640;"12-07-2026";"01:00";15,8;11,4;76;260;4,7;247;9;0;1019,1;944,4;0
11171;"Mariazell";866;"12-07-2026";"01:00";14,5;9,3;71;343;1,8;322;6,5;0;1019,8;921,6;0
11190;"Eisenstadt";184;"12-07-2026";"01:00";20,6;11;54;343;10,1;359;17,6;0;1017,6;996,4;0
11204;"Lienz";659;"12-07-2026";"01:00";20,7;15,1;70;103;6,8;104;24,8;0;1017,3;942,3;0
11240;"Graz/Flughafen";340;"12-07-2026";"01:00";17,9;16,1;89;0;1,8;;11,2;0;1018,1;976,1;0
11244;"Bad Gleichenberg";280;"12-07-2026";"01:00";16,9;15,5;91;333;1,1;114;16,6;0;1018,1;986,4;0
11265;"Villacher Alpe";2140;"12-07-2026";"01:00";11,5;11,3;99;257;5,4;243;14,8;0;;791;0
11331;"Klagenfurt/Flughafen";447;"12-07-2026";"01:00";17,5;15,6;89;114;0,4;18;8,3;0;1018,6;966,5;0
11343;"Sonnblick";3105;"12-07-2026";"01:00";4,9;-3,8;54;306;19,4;301;34,6;;;704,9;0
11389;"St. Pölten";270;"12-07-2026";"01:00";20,1;11;56;155;2,5;45;6,5;0;1018,5;987,3;0
11010;"Linz/Hörsching";298;"12-07-2026";"02:00";20,9;9,4;48;30;9,4;;11,2;0;1018,5;982,4;0
11012;"Kremsmünster";383;"12-07-2026";"02:00";19,4;10;54;27;6,8;33;10,1;0;1018,5;973,5;0
11022;"Retz";320;"12-07-2026";"02:00";18,8;8,6;52;331;9,7;331;12,6;0;1018,5;981,3;0
11035;"Wien/Hohe Warte";203;"12-07-2026";"02:00";20,9;9,6;48;352;6,1;346;7,6;0;1017,7;993,6;0
11036;"Wien/Schwechat";183;"12-07-2026";"02:00";18,1;10,8;62;330;11,2;;14,8;0;1018;996,5;0
11101;"Bregenz";424;"12-07-2026";"02:00";20,4;11,1;55;111;4,3;131;9,7;0;1016,8;966,9;0
11121;"Innsbruck";579;"12-07-2026";"02:00";17,7;11,5;67;354;1,1;230;6,8;0;1018,4;951,5;0
11126;"Patscherkofel";2247;"12-07-2026";"02:00";10,9;5,6;70;334;13,7;318;18;0;;782,6;0
11130;"Kufstein";495;"12-07-2026";"02:00";16,9;12,2;74;227;0,7;252;4,7;0;1018,5;961,8;0
11150;"Salzburg";430;"12-07-2026";"02:00";16;11,8;76;220;5,4;;7,6;0,1;1018,6;966,9;0
11155;"Feuerkogel";1618;"12-07-2026";"02:00";12,2;6,9;70;182;9,7;158;14,4;0;;842,6;0
11157;"Aigen im Ennstal";640;"12-07-2026";"02:00";16,3;11,2;72;221;4;314;6,5;0;1018,9;944,3;0
11171;"Mariazell";866;"12-07-2026";"02:00";13,9;7,8;67;23;1,1;35;5;0;1019,6;921,2;0
11190;"Eisenstadt";184;"12-07-2026";"02:00";19,8;11,2;58;329;7,2;355;12,6;0;1017,5;996,3;0
11204;"Lienz";659;"12-07-2026";"02:00";19,9;15;73;126;2,5;104;8,3;0;1017,2;942;0
11240;"Graz/Flughafen";340;"12-07-2026";"02:00";16,7;15,2;91;190;3,6;;7,6;0;1018;975,8;0
11244;"Bad Gleichenberg";280;"12-07-2026";"02:00";16,1;14,8;92;321;5;346;10,4;0;1018,1;986,3;0
11265;"Villacher Alpe";2140;"12-07-2026";"02:00";11,2;10,6;97;32;9,4;258;16,2;0;;790,3;0
11331;"Klagenfurt/Flughafen";447;"12-07-2026";"02:00";17,5;15,9;91;30;2,5;169;7,2;0;1018,1;966;0
11343;"Sonnblick";3105;"12-07-2026";"02:00";4,6;-3,7;55;304;21,6;275;37,8;;;704,5;0
11389;"St. Pölten";270;"12-07-2026";"02:00";19,7;11,8;60;259;1,4;187;7,9;0;1018,5;987,3;0
11010;"Linz/Hörsching";298;"12-07-2026";"03:00";18,6;9,8;56;280;3,6;;13;0;1018,7;982,3;0
11012;"Kremsmünster";383;"12-07-2026";"03:00";18,7;9,5;55;56;4,7;29;10,1;0;1018,7;973,6;0
11022;"Retz";320;"12-07-2026";"03:00";18,4;8,8;54;321;11,5;312;15,5;0;1018,1;980,9;0
11035;"Wien/Hohe Warte";203;"12-07-2026";"03:00";20,5;9,7;50;312;8,6;309;14;0;1017,4;993,2;0
11036;"Wien/Schwechat";183;"12-07-2026";"03:00";18,3;10,2;59;350;5,4;;14,8;0;1017,7;996,2;0
11101;"Bregenz";424;"12-07-2026";"03:00";19,7;10,6;56;124;1,4;63;9,4;0;1017,1;967;0
11121;"Innsbruck";579;"12-07-2026";"03:00";17,1;11;67;264;2,5;313;8,3;0;1018,6;951,6;0
11126;"Patscherkofel";2247;"12-07-2026";"03:00";10,7;5,4;70;349;15,8;342;20,5;0;;782,2;0
11130;"Kufstein";495;"12-07-2026";"03:00";16,3;12;76;218;4;207;5,4;0;1018,9;962;0
11150;"Salzburg";430;"12-07-2026";"03:00";15;11,6;80;200;3,6;;9,4;0,1;1019;967,1;0
11155;"Feuerkogel";1618;"12-07-2026";"03:00";12,4;6,6;68;318;3,6;164;11,2;0;;842,7;0
11157;"Aigen im Ennstal";640;"12-07-2026";"03:00";14,7;11;79;240;2,2;238;8,6;0;1019,3;944,3;0
11171;"Mariazell";866;"12-07-2026";"03:00";13,2;9,2;77;328;2,2;338;5,4;0;1019,9;921,2;0
11190;"Eisenstadt";184;"12-07-2026";"03:00";19,6;10,6;56;347;13,7;347;16,9;0,1;1016,9;995,7;0
11204;"Lienz";659;"12-07-2026";"03:00";18,5;13,6;73;286;4,7;252;9;0;1017,6;942;0
11240;"Graz/Flughafen";340;"12-07-2026";"03:00";15,8;15,2;96;120;3,6;;13;0;1017,8;975,5;0
11244;"Bad Gleichenberg";280;"12-07-2026";"03:00";15,5;14,2;92;76;0,7;328;7,6;0;1017,8;986;0
11265;"Villacher Alpe";2140;"12-07-2026";"03:00";10,8;10,8;100;22;10,1;22;11,9;0;;790;0
11331;"Klagenfurt/Flughafen";447;"12-07-2026";"03:00";17;15,6;92;325;3,2;318;17,3;0;1017,9;965,7;0
11343;"Sonnblick";3105;"12-07-2026";"03:00";3,8;-1,3;70;346;27,7;350;42,8;;;703,8;0
11389;"St. Pölten";270;"12-07-2026";"03:00";18,7;12;65;186;2,2;343;10,1;0;1018,1;986,8;0
11010;"Linz/Hörsching";298;"12-07-2026";"05:00";17;10,1;64;240;5,4;;9,4;0;1018,8;982,2;0
11012;"Kremsmünster";383;"12-07-2026";"05:00";16,9;11,4;70;231;10,4;228;15,1;0;1018,9;973,6;0
11022;"Retz";320;"12-07-2026";"05:00";18,3;8,8;54;301;23;301;30,6;;1018;980,8;0
11035;"Wien/Hohe Warte";203;"12-07-2026";"05:00";17,7;10;60;212;2,5;297;7,6;0;1017,3;992,9;0
11036;"Wien/Schwechat";183;"12-07-2026";"05:00";17,2;10,5;65;110;3,6;;9,4;0;1017,7;996,2;0
11101;"Bregenz";424;"12-07-2026";"05:00";17,4;10,7;65;114;2,2;47;7,2;0;1018,3;967,8;0
11121;"Innsbruck";579;"12-07-2026";"05:00";15,4;11;76;231;4,7;308;18,7;0;1019,9;952,4;0
11126;"Patscherkofel";2247;"12-07-2026";"05:00";9,6;4,9;73;357;16,2;360;21,2;0;;782,4;0
11130;"Kufstein";495;"12-07-2026";"05:00";14,8;11,4;80;205;3,2;202;5,8;0;1019,8;962,6;0
11150;"Salzburg";430;"12-07-2026";"05:00";13,8;11,3;85;170;7,6;;9,4;0,1;1019,7;967,6;0
11155;"Feuerkogel";1618;"12-07-2026";"05:00";11,5;5,6;67;92;4,3;73;9,4;0;;842,6;0
11157;"Aigen im Ennstal";640;"12-07-2026";"05:00";12,3;10,6;90;227;1,4;294;5,8;0;1020,6;944,9;0
11171;"Mariazell";866;"12-07-2026";"05:00";11,6;8,4;81;133;3,2;133;8,3;0;1020,6;921,3;0
11190;"Eisenstadt";184;"12-07-2026";"05:00";18,5;10,2;59;329;10,1;327;16,9;0;1017;995,7;0
11204;"Lienz";659;"12-07-2026";"05:00";16,8;12,5;76;320;5,4;316;9,7;0;1018,4;942,3;0
11240;"Graz/Flughafen";340;"12-07-2026";"05:00";15,4;14,9;97;0;0;;3,6;0;1018,7;976,3;0
11244;"Bad Gleichenberg";280;"12-07-2026";"05:00";14,6;13,4;92;355;2,9;331;5;0;1018,5;986,5;0
11265;"Villacher Alpe";2140;"12-07-2026";"05:00";10,4;7,6;83;25;13;16;15,5;0;;790,1;0
11331;"Klagenfurt/Flughafen";447;"12-07-2026";"05:00";15,9;14,7;93;36;0,7;135;7,6;0;1018,8;966,4;0
11343;"Sonnblick";3105;"12-07-2026";"05:00";3,5;-3,3;61;350;39,6;347;64,1;;;703,4;0
11389;"St. Pölten";270;"12-07-2026";"05:00";17,2;11,2;67;253;4;192;9,4;0;1018,2;986,7;0
11010;"Linz/Hörsching";298;"12-07-2026";"06:00";16,7;10,7;68;290;5,4;;9,4;0;1019,2;982,6;20
